gene_symbol	ensembl
RP11-345P4.10	ENSG00000272004
SLC35E2B	ENSG00000189339
RP11-345P4.6	ENSG00000269737
MMP23A	ENSG00000215914
CDK11A	ENSG00000008128
RP1-283E3.8	ENSG00000268575
RP1-283E3.4	ENSG00000227775
SLC35E2	ENSG00000215790
NADK	ENSG00000008130
GNB1	ENSG00000078369
RP1-140A9.1	ENSG00000231050
CALML6	ENSG00000169885
TMEM52	ENSG00000178821
CFAP74	ENSG00000142609
RP11-547D24.1	ENSG00000233542
GABRD	ENSG00000187730
RP11-547D24.3	ENSG00000226969
PRKCZ	ENSG00000067606
RP5-892K4.1	ENSG00000271806
RP11-181G12.2	ENSG00000182873
FAAP20	ENSG00000162585
RP11-181G12.4	ENSG00000234396
SKI	ENSG00000157933
MORN1	ENSG00000116151
RP4-713A8.1	ENSG00000272161
RP4-740C4.5	ENSG00000269896
RP4-740C4.7	ENSG00000272420
RER1	ENSG00000157916
PEX10	ENSG00000157911
PLCH2	ENSG00000149527
RP3-395M20.2	ENSG00000224387
RP3-395M20.3	ENSG00000229393
PANK4	ENSG00000157881
HES5	ENSG00000197921
RP3-395M20.12	ENSG00000272449
RP3-395M20.8	ENSG00000238164
TNFRSF14	ENSG00000157873
RP3-395M20.7	ENSG00000225931
RP3-395M20.9	ENSG00000228037
FAM213B	ENSG00000157870
MMEL1	ENSG00000142606
RP13-436F16.1	ENSG00000237058
TTC34	ENSG00000215912
ABC14-1188822O7.1	ENSG00000283259
RP11-740P5.2	ENSG00000233234
RP11-740P5.3	ENSG00000231630
RP5-907A6.1	ENSG00000284745
ACTRT2	ENSG00000169717
RP1-163G9.1	ENSG00000177133
PRDM16	ENSG00000142611
MIR4251	ENSG00000283572
RP1-163G9.2	ENSG00000226286
RP11-193J6.1	ENSG00000279839
RP11-22L13.1	ENSG00000272235
ARHGEF16	ENSG00000130762
RP11-168F9.2	ENSG00000272088
MEGF6	ENSG00000162591
MIR551A	ENSG00000207776
RP11-46F15.2	ENSG00000238260
TPRG1L	ENSG00000158109
WRAP73	ENSG00000116213
TP73	ENSG00000078900
RP5-1092A11.5	ENSG00000227589
RP5-1092A11.2	ENSG00000235131
TP73-AS1	ENSG00000227372
RF02197	ENSG00000276189
CCDC27	ENSG00000162592
SMIM1	ENSG00000235169
LRRC47	ENSG00000130764
RN7SL574P	ENSG00000266075
RP1-286D6.5	ENSG00000272153
CEP104	ENSG00000116198
DFFB	ENSG00000169598
C1orf174	ENSG00000198912
RP13-15E13.1	ENSG00000236423
RP13-614K11.1	ENSG00000233304
RP13-614K11.2	ENSG00000226374
RP11-718D19.1	ENSG00000284668
RP11-718D19.2	ENSG00000284703
RP11-374C13.1	ENSG00000229280
RP5-1166F10.1	ENSG00000235054
RP5-1166F10.2	ENSG00000284694
RP1-37J18.1	ENSG00000227169
RP1-37J18.2	ENSG00000232596
AJAP1	ENSG00000196581
RP4-603B14.2	ENSG00000284739
RP4-603B14.1	ENSG00000284674
RP11-542C10.1	ENSG00000231510
RP4-703E10.1	ENSG00000284616
RP1-58B11.2	ENSG00000284692
RP1-58B11.3	ENSG00000284666
RP1-58B11.1	ENSG00000260972
RP3-491M17.1	ENSG00000283356
RP11-154H17.1	ENSG00000236948
MIR4417	ENSG00000264341
MIR4689	ENSG00000264101
NPHP4	ENSG00000131697
KCNAB2	ENSG00000069424
CHD5	ENSG00000116254
RPL22	ENSG00000116251
RP1-120G22.11	ENSG00000226944
RNF207	ENSG00000158286
ICMT	ENSG00000116237
LINC00337	ENSG00000225077
HES3	ENSG00000173673
GPR153	ENSG00000158292
ACOT7	ENSG00000097021
RP1-202O8.3	ENSG00000271746
HES2	ENSG00000069812
ESPN	ENSG00000187017
MIR4252	ENSG00000265392
RP1-202O8.2	ENSG00000231868
TNFRSF25	ENSG00000215788
PLEKHG5	ENSG00000171680
NOL9	ENSG00000162408
RNU6-731P	ENSG00000253022
RP11-58A11.2	ENSG00000229519
TAS1R1	ENSG00000173662
ZBTB48	ENSG00000204859
KLHL21	ENSG00000162413
PHF13	ENSG00000116273
THAP3	ENSG00000041988
DNAJC11	ENSG00000007923
RP11-242F24.1	ENSG00000228750
RP11-242F24.2	ENSG00000284744
RP11-312B8.1	ENSG00000237436
CAMTA1	ENSG00000171735
RP11-312B8.2	ENSG00000227950
RP11-334N17.1	ENSG00000237365
RNU1-8P	ENSG00000207056
RP3-453P22.1	ENSG00000237402
RP3-453P22.2	ENSG00000237728
RP4-549F15.1	ENSG00000225126
RP11-338N10.1	ENSG00000270171
RP11-338N10.2	ENSG00000270035
RP11-338N10.3	ENSG00000269978
VAMP3	ENSG00000049245
RP3-467L1.6	ENSG00000269925
PER3	ENSG00000049246
RP3-467L1.4	ENSG00000236266
UTS2	ENSG00000049247
TNFRSF9	ENSG00000049249
RP5-892F13.2	ENSG00000270330
PARK7	ENSG00000116288
RF00019	ENSG00000200344
CTA-215D11.6	ENSG00000284747
CTA-215D11.5	ENSG00000284716
ERRFI1	ENSG00000116285
RP11-431K24.1	ENSG00000238290
CTA-215D11.4	ENSG00000232848
RP11-431K24.2	ENSG00000229305
RP11-431K24.3	ENSG00000227634
RNU1-7P	ENSG00000200975
RP11-431K24.4	ENSG00000233645
RNU6-991P	ENSG00000251977
SLC45A1	ENSG00000162426
RF00019	ENSG00000252254
RERE	ENSG00000142599
RP5-1115A15.1	ENSG00000232912
RF00599	ENSG00000221083
RP5-1115A15.2	ENSG00000270282
RP4-633I8.1	ENSG00000234619
RP4-633I8.2	ENSG00000224315
RF00019	ENSG00000222511
RP4-633I8.3	ENSG00000226545
RP4-633I8.4	ENSG00000228423
RP11-185B14.1	ENSG00000229716
ENO1	ENSG00000074800
MIR6728	ENSG00000274258
RP3-477M7.3	ENSG00000230679
RNU6-304P	ENSG00000201725
RP3-477M7.4	ENSG00000238249
RP3-477M7.5	ENSG00000232208
RP3-477M7.6	ENSG00000232663
CA6	ENSG00000131686
RN7SL451P	ENSG00000265141
SLC2A7	ENSG00000197241
SLC2A5	ENSG00000142583
RF00424	ENSG00000252404
GPR157	ENSG00000180758
MIR34AHG	ENSG00000228526
MIR34A	ENSG00000284357
RP3-510D11.2	ENSG00000234546
H6PD	ENSG00000049239
SPSB1	ENSG00000171621
CTD-2510L9.2	ENSG00000284652
CTD-2510L9.1	ENSG00000284693
RNA5SP40	ENSG00000252956
RP13-392I16.1	ENSG00000235263
SLC25A33	ENSG00000171612
RP13-15M17.1	ENSG00000231181
TMEM201	ENSG00000188807
PIK3CD	ENSG00000171608
C1orf200	ENSG00000179840
RP11-558F24.2	ENSG00000233268
RP11-558F24.4	ENSG00000231789
CLSTN1	ENSG00000171603
RP11-558F24.6	ENSG00000271264
RP11-84A14.7	ENSG00000280113
CTNNBIP1	ENSG00000178585
RP11-84A14.5	ENSG00000223989
LZIC	ENSG00000162441
RP11-84A14.4	ENSG00000228150
NMNAT1	ENSG00000173614
RN7SKP269	ENSG00000202415
RP11-84A14.6	ENSG00000283611
MIR5697	ENSG00000265521
RP11-807G9.2	ENSG00000241326
RBP7	ENSG00000162444
UBE4B	ENSG00000130939
RP11-496H15.2	ENSG00000224340
RP11-496H15.3	ENSG00000233623
RNU6-828P	ENSG00000201746
KIF1B	ENSG00000054523
MIR1273D	ENSG00000264881
RNU6-37P	ENSG00000199562
RN7SL731P	ENSG00000264501
RP4-736L20.4	ENSG00000284735
RP4-736L20.5	ENSG00000284642
PGD	ENSG00000142657
RP4-736L20.3	ENSG00000271989
APITD1-CORT	ENSG00000251503
CENPS	ENSG00000175279
CORT	ENSG00000241563
DFFA	ENSG00000160049
RP5-1113E3.3	ENSG00000203469
PEX14	ENSG00000142655
RN7SL614P	ENSG00000243267
CASZ1	ENSG00000130940
RP4-734G22.3	ENSG00000272078
RP11-340B24.3	ENSG00000225158
C1orf127	ENSG00000175262
CFLP6	ENSG00000215785
TARDBP	ENSG00000120948
RP4-635E18.9	ENSG00000277726
MASP2	ENSG00000009724
RP4-635E18.8	ENSG00000271895
SRM	ENSG00000116649
EXOSC10	ENSG00000171824
RP4-635E18.7	ENSG00000226849
RP4-635E18.6	ENSG00000230337
MTOR	ENSG00000198793
RP11-99P18.1	ENSG00000225602
RNU6-537P	ENSG00000253086
ANGPTL7	ENSG00000171819
RNU6-291P	ENSG00000207451
RP4-647M16.1	ENSG00000238173
UBIAD1	ENSG00000120942
RP4-796F18.2	ENSG00000238199
RP4-796F18.3	ENSG00000284646
RP11-149P14.1	ENSG00000224338
DISP3	ENSG00000204624
RP1-69M21.2	ENSG00000235643
RP3-330O12.5	ENSG00000284708
FBXO2	ENSG00000116661
FBXO44	ENSG00000132879
FBXO6	ENSG00000116663
MAD2L2	ENSG00000116670
DRAXIN	ENSG00000162490
AGTRAP	ENSG00000177674
C1orf167	ENSG00000215910
RP11-56N19.5	ENSG00000177553
MTHFR	ENSG00000177000
CLCN6	ENSG00000011021
NPPA-AS1	ENSG00000242349
RF02156	ENSG00000276470
RF02157	ENSG00000278852
NPPA	ENSG00000175206
RF02158	ENSG00000275915
NPPB	ENSG00000120937
RP5-934G17.6	ENSG00000224904
RNU5E-1	ENSG00000199347
RNU5E-4P	ENSG00000201801
KIAA2013	ENSG00000116685
PLOD1	ENSG00000083444
MFN2	ENSG00000116688
RP5-1077B9.5	ENSG00000270914
MIIP	ENSG00000116691
RF00019	ENSG00000202461
MIR6729	ENSG00000276869
RN7SL649P	ENSG00000243539
TNFRSF8	ENSG00000120949
RNU6-777P	ENSG00000201135
RP11-426M1.2	ENSG00000227875
MIR7846	ENSG00000283789
TNFRSF1B	ENSG00000028137
MIR4632	ENSG00000263676
RP5-1118D24.2	ENSG00000225196
RF00156	ENSG00000252969
VPS13D	ENSG00000048707
SNORA59A	ENSG00000239149
RP5-888M10.2	ENSG00000229484
DHRS3	ENSG00000162496
RNU6ATAC18P	ENSG00000221340
MIR6730	ENSG00000276830
RP11-474O21.5	ENSG00000272482
AADACL4	ENSG00000204518
RP11-474O21.2	ENSG00000226166
AADACL3	ENSG00000188984
C1orf158	ENSG00000157330
PRAMEF12	ENSG00000116726
PRAMEF1	ENSG00000116721
RP5-845O24.8	ENSG00000228338
PRAMEF11	ENSG00000239810
RP5-845O24.3	ENSG00000231103
HNRNPCL1	ENSG00000179172
PRAMEF2	ENSG00000120952
PRAMEF4	ENSG00000243073
PRAMEF10	ENSG00000187545
PRAMEF7	ENSG00000204510
RNU6-1072P	ENSG00000207434
RP11-450I1.2	ENSG00000234064
PRAMEF6	ENSG00000232423
CH17-409J4.2	ENSG00000274178
PRAMEF27	ENSG00000274764
HNRNPCL3	ENSG00000277058
PRAMEF25	ENSG00000229571
WI2-2994D6.1	ENSG00000277862
RP13-221M14.4	ENSG00000236179
HNRNPCL2	ENSG00000275774
RP13-221M14.3	ENSG00000229978
RP13-221M14.2	ENSG00000233336
PRAMEF26	ENSG00000280267
HNRNPCL4	ENSG00000179412
PRAMEF9	ENSG00000204505
PRAMEF13	ENSG00000279169
PRAMEF18	ENSG00000279804
RP11-450I1.4	ENSG00000250894
PRAMEF5	ENSG00000270601
RP11-219C24.8	ENSG00000231219
RNU6-771P	ENSG00000207511
PRAMEF8	ENSG00000182330
RP11-219C24.6	ENSG00000237700
PRAMEF15	ENSG00000204501
RP11-219C24.10	ENSG00000228229
PRAMEF14	ENSG00000204481
PRAMEF19	ENSG00000204480
PRAMEF17	ENSG00000204479
PRAMEF20	ENSG00000204478
LRRC38	ENSG00000162494
RP4-597A16.2	ENSG00000259961
RP4-597A16.3	ENSG00000215909
PDPN	ENSG00000162493
RNA5SP41	ENSG00000222952
CTA-520D8.2	ENSG00000237445
RF00564	ENSG00000253085
PRDM2	ENSG00000116731
KAZN	ENSG00000189337
RNU6-1265P	ENSG00000252151
RP11-344F13.1	ENSG00000231606
RP4-704D23.1	ENSG00000234593
RP3-410I8.1	ENSG00000235829
TMEM51-AS1	ENSG00000175147
TMEM51	ENSG00000171729
C1orf195	ENSG00000204464
RP1-21O18.3	ENSG00000215720
RP5-903E17.2	ENSG00000278480
FHAD1	ENSG00000142621
RP3-467K16.2	ENSG00000233485
RP3-467K16.7	ENSG00000236045
RP3-467K16.4	ENSG00000228140
EFHD2	ENSG00000142634
CTRC	ENSG00000162438
CELA2A	ENSG00000142615
CELA2B	ENSG00000215704
CASP9	ENSG00000132906
DNAJC16	ENSG00000116138
SCARNA21B	ENSG00000251866
RP4-680D5.8	ENSG00000272510
AGMAT	ENSG00000116771
RP4-680D5.2	ENSG00000237301
RP4-680D5.3	ENSG00000235084
RNU7-179P	ENSG00000252417
RP4-680D5.4	ENSG00000236500
DDI2	ENSG00000197312
RSC1A1	ENSG00000215695
RP4-680D5.9	ENSG00000271742
PLEKHM2	ENSG00000116786
RP11-288I21.1	ENSG00000237938
SLC25A34	ENSG00000162461
RP11-169K16.4	ENSG00000224459
TMEM82	ENSG00000162460
FBLIM1	ENSG00000162458
RP11-169K16.6	ENSG00000224321
UQCRHL	ENSG00000233954
RP11-169K16.8	ENSG00000178715
RP11-169K16.9	ENSG00000179743
SPEN	ENSG00000065526
RP1-134O19.3	ENSG00000270620
ZBTB17	ENSG00000116809
RP11-5P18.1	ENSG00000234607
RP11-5P18.3	ENSG00000231353
RP11-5P18.11	ENSG00000275503
RP11-5P18.2	ENSG00000224966
C1orf64	ENSG00000183888
RP11-5P18.5	ENSG00000233078
HSPB7	ENSG00000173641
CLCNKA	ENSG00000186510
RP11-5P18.10	ENSG00000232456
CLCNKB	ENSG00000184908
FAM131C	ENSG00000185519
EPHA2	ENSG00000142627
RP11-276H7.2	ENSG00000227959
RP11-276H7.3	ENSG00000224621
RP4-733M16.2	ENSG00000234166
ARHGEF19	ENSG00000142632
ANO7P1	ENSG00000237276
RSG1	ENSG00000132881
MTL1	ENSG00000233929
FBXO42	ENSG00000037637
SZRD1	ENSG00000055070
RP11-430L17.1	ENSG00000226457
SPATA21	ENSG00000187144
NECAP2	ENSG00000157191
RP4-798A10.2	ENSG00000226029
CROCCP3	ENSG00000080947
RNU1-1	ENSG00000206652
RP4-798A10.7	ENSG00000261135
RP4-798A10.4	ENSG00000224174
RP5-875O13.1	ENSG00000233421
RNU1-6P	ENSG00000277344
RP5-875O13.6	ENSG00000225710
NBPF1	ENSG00000219481
RP5-1182A14.5	ENSG00000271732
CROCCP2	ENSG00000215908
RP5-1182A14.8	ENSG00000283773
MST1P2	ENSG00000186301
RP1-163M9.8	ENSG00000282143
RNU1-3	ENSG00000207513
RP5-875O13.7	ENSG00000280114
EIF1AP1	ENSG00000236698
ESPNP	ENSG00000268869
RP1-163M9.7	ENSG00000279151
RP5-1182A14.7	ENSG00000282740
CROCC	ENSG00000058453
RP1-163M9.5	ENSG00000227684
RNU1-4	ENSG00000207389
MST1L	ENSG00000186715
RP11-108M9.1	ENSG00000223643
RP11-108M9.2	ENSG00000230239
MIR3675	ENSG00000263811
RP11-108M9.3	ENSG00000228549
RNU1-5P	ENSG00000277234
RP11-108M9.4	ENSG00000238142
RP11-108M9.5	ENSG00000235241
RNU1-2	ENSG00000207005
RP11-108M9.6	ENSG00000272426
MFAP2	ENSG00000117122
RP1-37C10.3	ENSG00000226526
ATP13A2	ENSG00000159363
SDHB	ENSG00000117118
PADI2	ENSG00000117115
RP11-380J14.1	ENSG00000204362
RP11-380J14.4	ENSG00000282843
PADI1	ENSG00000142623
PADI3	ENSG00000142619
MIR3972	ENSG00000266634
PADI4	ENSG00000159339
PADI6	ENSG00000276747
RP1-20B21.4	ENSG00000227751
RCC2	ENSG00000179051
ARHGEF10L	ENSG00000074964
RP11-473A10.2	ENSG00000236648
ACTL8	ENSG00000117148
RP11-658E23.1	ENSG00000284653
RP11-174G17.2	ENSG00000261781
IGSF21	ENSG00000117154
RP11-174G17.3	ENSG00000280222
RP11-174G17	ENSG00000230035
RP11-422P22.1	ENSG00000225387
KLHDC7A	ENSG00000179023
RP1-8B22.1	ENSG00000235282
RP1-8B22.2	ENSG00000225478
PAX7	ENSG00000009709
TAS1R2	ENSG00000179002
RP13-279N23.2	ENSG00000255275
ALDH4A1	ENSG00000159423
MIR4695	ENSG00000265606
MIR1290	ENSG00000221662
IFFO2	ENSG00000169991
RP5-1126H10.2	ENSG00000272084
UBR4	ENSG00000127481
RP1-43E13.2	ENSG00000230424
EMC1	ENSG00000127463
MRTO4	ENSG00000053372
AKR7L	ENSG00000211454
AKR7A3	ENSG00000162482
RP4-657E11.10	ENSG00000270728
AKR7A2	ENSG00000053371
RNU6-1099P	ENSG00000200403
PQLC2	ENSG00000040487
CAPZB	ENSG00000077549
RN7SL277P	ENSG00000240490
RNU4-28P	ENSG00000201609
RP5-1056L3.1	ENSG00000235185
MINOS1	ENSG00000173436
NBL1	ENSG00000158747
MINOS1-NBL1	ENSG00000270136
RP5-1056L3.3	ENSG00000226396
HTR6	ENSG00000158748
TMCO4	ENSG00000162542
RNF186	ENSG00000178828
RP11-91K11.2	ENSG00000235434
OTUD3	ENSG00000169914
PLA2G2E	ENSG00000188784
RN7SL304P	ENSG00000242688
PLA2G2A	ENSG00000188257
PLA2G5	ENSG00000127472
PLA2G2D	ENSG00000117215
PLA2G2F	ENSG00000158786
RP3-340N1.2	ENSG00000227066
PLA2G2C	ENSG00000187980
RP3-340N1.5	ENSG00000225986
UBXN10	ENSG00000162543
RP3-340N1.6	ENSG00000228105
RP3-340N1.7	ENSG00000284710
VWA5B1	ENSG00000158816
RP4-745E8.2	ENSG00000226664
RP4-749H3.1	ENSG00000236963
RP4-749H3.2	ENSG00000226487
RP4-749H3.4	ENSG00000284641
RP4-749H3.3	ENSG00000284743
CAMK2N1	ENSG00000162545
MUL1	ENSG00000090432
RP11-401M16.3	ENSG00000215520
FAM43B	ENSG00000183114
CDA	ENSG00000158825
PINK1	ENSG00000158828
MIR6084	ENSG00000284005
RP11-401M16.7	ENSG00000117242
DDOST	ENSG00000244038
KIF17	ENSG00000117245
RP5-930J4.5	ENSG00000235432
SH2D5	ENSG00000189410
RP5-930J4.2	ENSG00000233069
HP1BP3	ENSG00000127483
EIF4G3	ENSG00000075151
RNU7-200P	ENSG00000251914
MIR1256	ENSG00000221808
RP11-487E1.1	ENSG00000233072
RP11-487E1.2	ENSG00000236073
RP11-628K18.1	ENSG00000235112
ECE1	ENSG00000117298
RP3-329E20.2	ENSG00000236936
RP5-1071N3.1	ENSG00000231105
RP11-560O15.1	ENSG00000236216
RP11-293F5.8	ENSG00000228823
RP11-293F5.1	ENSG00000236009
RP11-293F5.2	ENSG00000227001
HS6ST1P	ENSG00000187952
RP11-293F5.4	ENSG00000186543
NBPF3	ENSG00000142794
RP11-293F5.6	ENSG00000176378
ALPL	ENSG00000162551
RP11-63N8.3	ENSG00000233431
RAP1GAP	ENSG00000076864
USP48	ENSG00000090686
RP11-132G19.3	ENSG00000231978
LDLRAD2	ENSG00000187942
HSPG2	ENSG00000142798
RP11-26H16.1	ENSG00000232037
RP11-26H16.4	ENSG00000283234
CELA3B	ENSG00000219073
RN7SL386P	ENSG00000273610
RNU6-1022P	ENSG00000201919
CELA3A	ENSG00000142789
RN7SL186P	ENSG00000278124
RNU6-776P	ENSG00000201273
RP1-224A6.3	ENSG00000228397
RP1-224A6.4	ENSG00000218510
CDC42	ENSG00000070831
RP1-224A6.6	ENSG00000230068
RP1-224A6.8	ENSG00000271428
RP1-224A6.9	ENSG00000271840
WNT4	ENSG00000162552
MIR4418	ENSG00000266564
RP11-415K20.1	ENSG00000234397
RP11-415K20.2	ENSG00000279625
ZBTB40	ENSG00000184677
RP1-61A9.4	ENSG00000237200
EPHA8	ENSG00000070886
MIR6127	ENSG00000276835
C1QA	ENSG00000173372
C1QC	ENSG00000159189
C1QB	ENSG00000173369
EPHB2	ENSG00000133216
MIR4684	ENSG00000265422
RP11-69E9.1	ENSG00000225952
MIR4253	ENSG00000264014
LACTBL1	ENSG00000215906
C1orf234	ENSG00000227868
KDM1A	ENSG00000004487
RP1-184J9.2	ENSG00000240553
MIR3115	ENSG00000263793
MIR4419A	ENSG00000266802
LUZP1	ENSG00000169641
RP5-979D14.1	ENSG00000229010
RNU6-514P	ENSG00000206935
RNU6-135P	ENSG00000252578
HTR1D	ENSG00000179546
RP5-1057J7.1	ENSG00000215381
RP5-1057J7.6	ENSG00000261326
RP5-1057J7.8	ENSG00000284726
HNRNPR	ENSG00000125944
ZNF436	ENSG00000125945
C1orf213	ENSG00000249087
RF00019	ENSG00000201405
RP5-1057J7.7	ENSG00000271420
TCEA3	ENSG00000204219
RP4-654C18.1	ENSG00000232482
ASAP3	ENSG00000088280
E2F2	ENSG00000007968
RP1-150O5.3	ENSG00000235052
ID3	ENSG00000117318
MDS2	ENSG00000197880
RP11-223J15.2	ENSG00000229239
RPL11	ENSG00000142676
ELOA	ENSG00000011007
RP5-886K2.3	ENSG00000236810
PITHD1	ENSG00000057757
LYPLA2	ENSG00000011009
GALE	ENSG00000117308
HMGCL	ENSG00000117305
FUCA1	ENSG00000179163
CNR2	ENSG00000188822
RP11-4M23.2	ENSG00000229106
RP11-4M23.3	ENSG00000232557
MIR378F	ENSG00000264926
RP11-4M23.4	ENSG00000230228
PNRC2	ENSG00000189266
SRSF10	ENSG00000188529
RP11-4M23.7	ENSG00000215905
RP11-293P20.2	ENSG00000225315
MYOM3	ENSG00000142661
RP11-293P20.4	ENSG00000230703
IL22RA1	ENSG00000142677
IFNLR1	ENSG00000185436
RP11-10N16.2	ENSG00000230023
RP11-10N16.3	ENSG00000232298
GRHL3	ENSG00000158055
STPG1	ENSG00000001460
NIPAL3	ENSG00000001461
RCAN3	ENSG00000117602
RP4-594I10.3	ENSG00000264443
NCMAP	ENSG00000184454
RP11-496D1.2	ENSG00000227312
RF00019	ENSG00000239106
SRRM1	ENSG00000133226
RP11-373M8.2	ENSG00000284699
CLIC4	ENSG00000169504
RNU6-1208P	ENSG00000238482
RUNX3	ENSG00000020633
MIR6731	ENSG00000278034
RP11-84D1.1	ENSG00000229162
RP11-84D1.2	ENSG00000261025
MIR4425	ENSG00000264371
RP4-799D16.1	ENSG00000233755
RP4-781L3.1	ENSG00000233419
RP4-706G24.1	ENSG00000231953
SYF2	ENSG00000117614
RP3-465N24.7	ENSG00000284602
RP3-465N24.8	ENSG00000284657
RSRP1	ENSG00000117616
RP3-465N24.6	ENSG00000272432
RP3-465N24.5	ENSG00000261349
RHD	ENSG00000187010
RP11-335G20.1	ENSG00000224183
RP11-335G20.7	ENSG00000259984
TMEM50A	ENSG00000183726
RHCE	ENSG00000188672
RP3-469D22.1	ENSG00000238084
TMEM57	ENSG00000204178
LDLRAP1	ENSG00000157978
RP11-70P17.1	ENSG00000225643
MAN1C1	ENSG00000117643
RP1-187B23.1	ENSG00000233478
SEPN1	ENSG00000162430
RP1-317E23.6	ENSG00000255054
RP1-317E23.3	ENSG00000228172
MTFR1L	ENSG00000117640
RP1-317E23.7	ENSG00000272478
AUNIP	ENSG00000127423
RP1-125I3.2	ENSG00000236528
PAQR7	ENSG00000182749
RF00019	ENSG00000207302
STMN1	ENSG00000117632
RP1-125I3.7	ENSG00000229786
RP1-125I3.4	ENSG00000223624
MIR3917	ENSG00000283938
PAFAH2	ENSG00000158006
RNU6-110P	ENSG00000207237
RF00492	ENSG00000252190
RF00283	ENSG00000252691
EXTL1	ENSG00000158008
SLC30A2	ENSG00000158014
RP11-96L14.9	ENSG00000284309
TRIM63	ENSG00000158022
PDIK1L	ENSG00000175087
FAM110D	ENSG00000197245
