Kids_First_Biospecimen_ID	bed_to_use
BS_BVAVPKKN	intersect_strelka_mutect2_vardict_WGS.bed
BS_CWPHVM94	intersect_strelka_mutect2_vardict_WGS.bed
BS_BBK329W5	intersect_strelka_mutect2_vardict_WGS.bed
BS_RR3T675W	intersect_strelka_mutect2_vardict_WGS.bed
BS_CQC29CK5	intersect_strelka_mutect2_vardict_WGS.bed
BS_H0MVFRCE	intersect_strelka_mutect2_vardict_WGS.bed
BS_THY6PFYF	intersect_strelka_mutect2_vardict_WGS.bed
BS_2NPW3A08	intersect_strelka_mutect2_vardict_WGS.bed
BS_PNF2SHN9	intersect_strelka_mutect2_vardict_WGS.bed
BS_NX91DYXQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_8MJNDM75	intersect_strelka_mutect2_vardict_WGS.bed
BS_WBTZK7A2	intersect_strelka_mutect2_vardict_WGS.bed
BS_Y3KBY0FY	intersect_strelka_mutect2_vardict_WGS.bed
BS_0TER803R	intersect_strelka_mutect2_vardict_WGS.bed
BS_J6FPW4H0	intersect_strelka_mutect2_vardict_WGS.bed
BS_6K2SSJ77	intersect_strelka_mutect2_vardict_WGS.bed
BS_JV1GTZ1Q	intersect_strelka_mutect2_vardict_WGS.bed
BS_Q4PTDFKS	intersect_strelka_mutect2_vardict_WGS.bed
BS_MW0JYGG1	intersect_strelka_mutect2_vardict_WGS.bed
BS_0T5A16N2	intersect_strelka_mutect2_vardict_WGS.bed
BS_4GHFYCWZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_7BJQNVK8	intersect_strelka_mutect2_vardict_WGS.bed
BS_GNETMRJF	intersect_strelka_mutect2_vardict_WGS.bed
BS_3KPKZVGX	intersect_strelka_mutect2_vardict_WGS.bed
BS_X8H38ZNB	intersect_strelka_mutect2_vardict_WGS.bed
BS_GZ39V8AK	intersect_strelka_mutect2_vardict_WGS.bed
BS_59BAHXTQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_TKRH7YW7	intersect_strelka_mutect2_vardict_WGS.bed
BS_95PV1RRY	intersect_strelka_mutect2_vardict_WGS.bed
BS_QWX24M4X	intersect_strelka_mutect2_vardict_WGS.bed
BS_P5VHEN5Q	intersect_strelka_mutect2_vardict_WGS.bed
BS_87J6X9KJ	intersect_strelka_mutect2_vardict_WGS.bed
BS_M0N8YXTA	intersect_strelka_mutect2_vardict_WGS.bed
BS_TDV0SYNR	intersect_strelka_mutect2_vardict_WGS.bed
BS_MMCZHZE6	intersect_strelka_mutect2_vardict_WGS.bed
BS_QEKBZRMD	intersect_strelka_mutect2_vardict_WGS.bed
BS_WKPJ7S74	intersect_strelka_mutect2_vardict_WGS.bed
BS_S8Q6R8MX	intersect_strelka_mutect2_vardict_WGS.bed
BS_FR9R7VFY	intersect_strelka_mutect2_vardict_WGS.bed
BS_0QTY32QA	intersect_strelka_mutect2_vardict_WGS.bed
BS_A527Y2QF	intersect_strelka_mutect2_vardict_WGS.bed
BS_1HXG4A7B	intersect_strelka_mutect2_vardict_WGS.bed
BS_A3K94FCY	intersect_strelka_mutect2_vardict_WGS.bed
BS_YPKSF86W	intersect_strelka_mutect2_vardict_WGS.bed
BS_PWXXZMSR	intersect_strelka_mutect2_vardict_WGS.bed
BS_QSTNH2MJ	intersect_strelka_mutect2_vardict_WGS.bed
BS_FSNCPJJF	intersect_strelka_mutect2_vardict_WGS.bed
BS_GPXZ2NQB	intersect_strelka_mutect2_vardict_WGS.bed
BS_76SQJSHP	intersect_strelka_mutect2_vardict_WGS.bed
BS_SMJRCVQB	intersect_strelka_mutect2_vardict_WGS.bed
BS_HQC1EKZ8	intersect_strelka_mutect2_vardict_WGS.bed
BS_A2Z4DDQS	intersect_strelka_mutect2_vardict_WGS.bed
BS_7HRQNWJY	intersect_strelka_mutect2_vardict_WGS.bed
BS_25EXB29C	intersect_strelka_mutect2_vardict_WGS.bed
BS_R66Z3ENM	intersect_strelka_mutect2_vardict_WGS.bed
BS_1FR8GJ7N	intersect_strelka_mutect2_vardict_WGS.bed
BS_QNQDTDCS	intersect_strelka_mutect2_vardict_WGS.bed
BS_HZKJMB0D	intersect_strelka_mutect2_vardict_WGS.bed
BS_8JTH2X5Z	intersect_strelka_mutect2_vardict_WGS.bed
BS_588QYDB1	intersect_strelka_mutect2_vardict_WGS.bed
BS_SSS5J8P5	intersect_strelka_mutect2_vardict_WGS.bed
BS_NGBKDYFB	intersect_strelka_mutect2_vardict_WGS.bed
BS_PDWEETXG	intersect_strelka_mutect2_vardict_WGS.bed
BS_E7CRT00M	intersect_strelka_mutect2_vardict_WGS.bed
BS_01BDZ0TW	intersect_strelka_mutect2_vardict_WGS.bed
BS_WVMWHF4P	intersect_strelka_mutect2_vardict_WGS.bed
BS_6S50RDHT	intersect_strelka_mutect2_vardict_WGS.bed
BS_0Y4VHCMS	intersect_strelka_mutect2_vardict_WGS.bed
BS_EDGSP4V6	intersect_strelka_mutect2_vardict_WGS.bed
BS_SYQG48V0	intersect_strelka_mutect2_vardict_WGS.bed
BS_STK02B14	intersect_strelka_mutect2_vardict_WGS.bed
BS_G4W213NW	intersect_strelka_mutect2_vardict_WGS.bed
BS_NNH2A86D	intersect_strelka_mutect2_vardict_WGS.bed
BS_E4N511ZX	intersect_strelka_mutect2_vardict_WGS.bed
BS_XX68G6KE	intersect_strelka_mutect2_vardict_WGS.bed
BS_D9BP1QN2	intersect_strelka_mutect2_vardict_WGS.bed
BS_ABZC437A	intersect_strelka_mutect2_vardict_WGS.bed
BS_GBS4JMAZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_EXDY4JFF	intersect_strelka_mutect2_vardict_WGS.bed
BS_6AENZKKA	intersect_strelka_mutect2_vardict_WGS.bed
BS_HEP8QTNN	intersect_strelka_mutect2_vardict_WGS.bed
BS_NB0ESCXK	intersect_strelka_mutect2_vardict_WGS.bed
BS_CQ40NN4X	intersect_strelka_mutect2_vardict_WGS.bed
BS_ACDQRWMY	intersect_strelka_mutect2_vardict_WGS.bed
BS_QZAV7XVF	intersect_strelka_mutect2_vardict_WGS.bed
BS_B2RYV4GG	intersect_strelka_mutect2_vardict_WGS.bed
BS_255803B6	intersect_strelka_mutect2_vardict_WGS.bed
BS_P69A72G2	intersect_strelka_mutect2_vardict_WGS.bed
BS_XDH1Y1TQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_K62HBS01	intersect_strelka_mutect2_vardict_WGS.bed
BS_FXG6F3NN	intersect_strelka_mutect2_vardict_WGS.bed
BS_X3AFTRNM	intersect_strelka_mutect2_vardict_WGS.bed
BS_VCXG53E7	intersect_strelka_mutect2_vardict_WGS.bed
BS_YTQ6Y7FQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_J8YAY1HM	intersect_strelka_mutect2_vardict_WGS.bed
BS_K9P9N35B	intersect_strelka_mutect2_vardict_WGS.bed
BS_WSD8PV27	intersect_strelka_mutect2_vardict_WGS.bed
BS_CP8741SX	intersect_strelka_mutect2_vardict_WGS.bed
BS_EE2YW499	intersect_strelka_mutect2_vardict_WGS.bed
BS_T9KJYH7M	intersect_strelka_mutect2_vardict_WGS.bed
BS_ZYXTC212	intersect_strelka_mutect2_vardict_WGS.bed
BS_38SSRZJ1	intersect_strelka_mutect2_vardict_WGS.bed
BS_9PEJSEZG	intersect_strelka_mutect2_vardict_WGS.bed
BS_P9FWPEYY	intersect_strelka_mutect2_vardict_WGS.bed
BS_4D9SK48F	intersect_strelka_mutect2_vardict_WGS.bed
BS_6FA0NNF1	intersect_strelka_mutect2_vardict_WGS.bed
BS_R0WH31Q0	intersect_strelka_mutect2_vardict_WGS.bed
BS_BF83XX7P	intersect_strelka_mutect2_vardict_WGS.bed
BS_55PH1SAS	intersect_strelka_mutect2_vardict_WGS.bed
BS_S4R97RNZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_8DB19DYW	intersect_strelka_mutect2_vardict_WGS.bed
BS_SXVVN52M	intersect_strelka_mutect2_vardict_WGS.bed
BS_35DBPYMN	intersect_strelka_mutect2_vardict_WGS.bed
BS_4J4MVGTR	intersect_strelka_mutect2_vardict_WGS.bed
BS_1GQJVG9Q	intersect_strelka_mutect2_vardict_WGS.bed
BS_H7T26DMD	intersect_strelka_mutect2_vardict_WGS.bed
BS_BPXHZ3Y0	intersect_strelka_mutect2_vardict_WGS.bed
BS_4VKRBRJC	intersect_strelka_mutect2_vardict_WGS.bed
BS_A5AQFAFA	intersect_strelka_mutect2_vardict_WGS.bed
BS_3AKS23A0	intersect_strelka_mutect2_vardict_WGS.bed
BS_WRZATZQF	intersect_strelka_mutect2_vardict_WGS.bed
BS_NK1FJNRG	intersect_strelka_mutect2_vardict_WGS.bed
BS_YK9W04XG	intersect_strelka_mutect2_vardict_WGS.bed
BS_7NXB23C9	intersect_strelka_mutect2_vardict_WGS.bed
BS_JZFMHGNX	intersect_strelka_mutect2_vardict_WGS.bed
BS_H915DJY3	intersect_strelka_mutect2_vardict_WGS.bed
BS_E4V8XN3G	intersect_strelka_mutect2_vardict_WGS.bed
BS_4WSW3X49	intersect_strelka_mutect2_vardict_WGS.bed
BS_WCEHT7D0	intersect_strelka_mutect2_vardict_WGS.bed
BS_GFN4FETJ	intersect_strelka_mutect2_vardict_WGS.bed
BS_JXVVZ2S8	intersect_strelka_mutect2_vardict_WGS.bed
BS_89V49XKJ	intersect_strelka_mutect2_vardict_WGS.bed
BS_2P6MH05V	intersect_strelka_mutect2_vardict_WGS.bed
BS_VKK21QBZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_XQC9PNZP	intersect_strelka_mutect2_vardict_WGS.bed
BS_DAX3YVG0	intersect_strelka_mutect2_vardict_WGS.bed
BS_T62SHZA7	intersect_strelka_mutect2_vardict_WGS.bed
BS_K5DHTP34	intersect_strelka_mutect2_vardict_WGS.bed
BS_WFZG82XZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_XWKDJ2M6	intersect_strelka_mutect2_vardict_WGS.bed
BS_TWN989ZD	intersect_strelka_mutect2_vardict_WGS.bed
BS_DZ998H9P	intersect_strelka_mutect2_vardict_WGS.bed
BS_F92J3KBA	intersect_strelka_mutect2_vardict_WGS.bed
BS_D7442ACV	intersect_strelka_mutect2_vardict_WGS.bed
BS_7S8KSFRC	intersect_strelka_mutect2_vardict_WGS.bed
BS_7W42FH5A	intersect_strelka_mutect2_vardict_WGS.bed
BS_HCWEF4QN	intersect_strelka_mutect2_vardict_WGS.bed
BS_64P50TAP	intersect_strelka_mutect2_vardict_WGS.bed
BS_2F5KDZ93	intersect_strelka_mutect2_vardict_WGS.bed
BS_D3N3FG7Y	intersect_strelka_mutect2_vardict_WGS.bed
BS_W09W6AAS	intersect_strelka_mutect2_vardict_WGS.bed
BS_GAA781GQ	intersect_strelka_mutect2_vardict_WGS.bed
BS_BHKAK446	intersect_strelka_mutect2_vardict_WGS.bed
BS_DGV11G69	intersect_strelka_mutect2_vardict_WGS.bed
BS_Y9BHAPG3	intersect_strelka_mutect2_vardict_WGS.bed
BS_ZRG2V7T2	intersect_strelka_mutect2_vardict_WGS.bed
BS_XQSEQPAZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_B4GBBM0J	intersect_strelka_mutect2_vardict_WGS.bed
BS_SGRCCAVT	intersect_strelka_mutect2_vardict_WGS.bed
BS_XH6P7BY8	intersect_strelka_mutect2_vardict_WGS.bed
BS_H68W3CE8	intersect_strelka_mutect2_vardict_WGS.bed
BS_SPGHWHXY	intersect_strelka_mutect2_vardict_WGS.bed
BS_4G4PK2D4	intersect_strelka_mutect2_vardict_WGS.bed
BS_PKHXM1NB	intersect_strelka_mutect2_vardict_WGS.bed
BS_9ZDR2H7D	intersect_strelka_mutect2_vardict_WGS.bed
BS_P6FPBJM8	intersect_strelka_mutect2_vardict_WGS.bed
BS_2N95EW0G	intersect_strelka_mutect2_vardict_WGS.bed
BS_V4VGG98Y	intersect_strelka_mutect2_vardict_WGS.bed
BS_8XDZQKSD	intersect_strelka_mutect2_vardict_WGS.bed
BS_R13WNSAR	intersect_strelka_mutect2_vardict_WGS.bed
BS_TT4PHFV7	intersect_strelka_mutect2_vardict_WGS.bed
BS_QDMDQ3E3	intersect_strelka_mutect2_vardict_WGS.bed
BS_2SFR8Z1P	intersect_strelka_mutect2_vardict_WGS.bed
BS_9G2RB0V8	intersect_strelka_mutect2_vardict_WGS.bed
BS_9PRG9CJC	intersect_strelka_mutect2_vardict_WGS.bed
BS_B80Z459E	intersect_strelka_mutect2_vardict_WGS.bed
BS_KXRFQF5N	intersect_strelka_mutect2_vardict_WGS.bed
BS_APY3G22J	intersect_strelka_mutect2_vardict_WGS.bed
BS_9CPZ5R1T	intersect_strelka_mutect2_vardict_WGS.bed
BS_7ZT919XN	intersect_strelka_mutect2_vardict_WGS.bed
BS_9ND96NYZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_FAEHNS3Q	intersect_strelka_mutect2_vardict_WGS.bed
BS_PS8TB6Z0	intersect_strelka_mutect2_vardict_WGS.bed
BS_C3KT9THS	intersect_strelka_mutect2_vardict_WGS.bed
BS_MYVQ8YDT	intersect_strelka_mutect2_vardict_WGS.bed
BS_RQZZ6T97	intersect_strelka_mutect2_vardict_WGS.bed
BS_CG9KDK95	intersect_strelka_mutect2_vardict_WGS.bed
BS_X6BEG5J1	intersect_strelka_mutect2_vardict_WGS.bed
BS_8S0EDFTP	intersect_strelka_mutect2_vardict_WGS.bed
BS_A11S37GE	intersect_strelka_mutect2_vardict_WGS.bed
BS_Y4V9JXG4	intersect_strelka_mutect2_vardict_WGS.bed
BS_C9YD10Y4	intersect_strelka_mutect2_vardict_WGS.bed
BS_TS07B3TC	intersect_strelka_mutect2_vardict_WGS.bed
BS_CD6KRB1K	intersect_strelka_mutect2_vardict_WGS.bed
BS_QCP0VAZ7	intersect_strelka_mutect2_vardict_WGS.bed
BS_FK3DPAWA	intersect_strelka_mutect2_vardict_WGS.bed
BS_WSK7MH3C	intersect_strelka_mutect2_vardict_WGS.bed
BS_ACCE0MEA	intersect_strelka_mutect2_vardict_WGS.bed
BS_3564XTTK	intersect_strelka_mutect2_vardict_WGS.bed
BS_NVJJJ7MT	intersect_strelka_mutect2_vardict_WGS.bed
BS_69KVWAWK	intersect_strelka_mutect2_vardict_WGS.bed
BS_0RBGK29M	intersect_strelka_mutect2_vardict_WGS.bed
BS_MJ2H7ZT3	intersect_strelka_mutect2_vardict_WGS.bed
BS_MQ6RKJCD	intersect_strelka_mutect2_vardict_WGS.bed
BS_RA5HNMDP	intersect_strelka_mutect2_vardict_WGS.bed
BS_AE718N55	intersect_strelka_mutect2_vardict_WGS.bed
BS_V7B79J5R	intersect_strelka_mutect2_vardict_WGS.bed
BS_3CVTNBQ3	intersect_strelka_mutect2_vardict_WGS.bed
BS_6KH6CXMH	intersect_strelka_mutect2_vardict_WGS.bed
BS_CKVK1AYV	intersect_strelka_mutect2_vardict_WGS.bed
BS_W41Y820G	intersect_strelka_mutect2_vardict_WGS.bed
BS_2X9EVKZ0	intersect_strelka_mutect2_vardict_WGS.bed
BS_JQ0XD1K9	intersect_strelka_mutect2_vardict_WGS.bed
BS_1YD0ZQ4R	intersect_strelka_mutect2_vardict_WGS.bed
BS_VGAKW5G6	intersect_strelka_mutect2_vardict_WGS.bed
BS_FV0C303D	intersect_strelka_mutect2_vardict_WGS.bed
BS_DFJYRYV1	intersect_strelka_mutect2_vardict_WGS.bed
BS_WMM0MP1J	intersect_strelka_mutect2_vardict_WGS.bed
BS_F3ZZ4BXE	intersect_strelka_mutect2_vardict_WGS.bed
BS_SY6CCX4G	intersect_strelka_mutect2_vardict_WGS.bed
BS_W2BC0CVT	intersect_strelka_mutect2_vardict_WGS.bed
BS_30NT6PNA	intersect_strelka_mutect2_vardict_WGS.bed
BS_CGGJZ5Q1	intersect_strelka_mutect2_vardict_WGS.bed
BS_TR758MB1	intersect_strelka_mutect2_vardict_WGS.bed
BS_EQE447QB	intersect_strelka_mutect2_vardict_WGS.bed
BS_P8X3GAEP	intersect_strelka_mutect2_vardict_WGS.bed
BS_QKTJ4QY9	intersect_strelka_mutect2_vardict_WGS.bed
BS_T9VPRPVA	intersect_strelka_mutect2_vardict_WGS.bed
BS_5BFNH9S6	intersect_strelka_mutect2_vardict_WGS.bed
BS_MTQ7F28J	intersect_strelka_mutect2_vardict_WGS.bed
BS_QDRHQSPZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_CPGZYTHM	intersect_strelka_mutect2_vardict_WGS.bed
BS_W22EEJCZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_MCCJ3EMF	intersect_strelka_mutect2_vardict_WGS.bed
BS_PQFKEKEW	intersect_strelka_mutect2_vardict_WGS.bed
BS_X2D8S1HY	intersect_strelka_mutect2_vardict_WGS.bed
BS_B6E0477K	intersect_strelka_mutect2_vardict_WGS.bed
BS_5PEA35TB	intersect_strelka_mutect2_vardict_WGS.bed
BS_W05MC7QG	intersect_strelka_mutect2_vardict_WGS.bed
BS_H18ZNTNR	intersect_strelka_mutect2_vardict_WGS.bed
BS_XA3KEKC6	intersect_strelka_mutect2_vardict_WGS.bed
BS_DWYR5CTE	intersect_strelka_mutect2_vardict_WGS.bed
BS_HYX0M8VM	intersect_strelka_mutect2_vardict_WGS.bed
BS_SYSZCYYZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_C8T56CWR	intersect_strelka_mutect2_vardict_WGS.bed
BS_SSHQFYA8	intersect_strelka_mutect2_vardict_WGS.bed
BS_JGVTE14P	intersect_strelka_mutect2_vardict_WGS.bed
BS_D8H43Q28	intersect_strelka_mutect2_vardict_WGS.bed
BS_J3707KE2	intersect_strelka_mutect2_vardict_WGS.bed
BS_Z2G9EG1X	intersect_strelka_mutect2_vardict_WGS.bed
BS_7MXT22QP	intersect_strelka_mutect2_vardict_WGS.bed
BS_AZ6KVKC4	intersect_strelka_mutect2_vardict_WGS.bed
BS_1G3QX306	intersect_strelka_mutect2_vardict_WGS.bed
BS_F6MNG2S0	intersect_strelka_mutect2_vardict_WGS.bed
BS_92YFTG9R	intersect_strelka_mutect2_vardict_WGS.bed
BS_1G5N5R8S	intersect_strelka_mutect2_vardict_WGS.bed
BS_29MQMSCM	intersect_strelka_mutect2_vardict_WGS.bed
BS_29DZNQYC	intersect_strelka_mutect2_vardict_WGS.bed
BS_75HW641M	intersect_strelka_mutect2_vardict_WGS.bed
BS_KE5D12KG	intersect_strelka_mutect2_vardict_WGS.bed
BS_808H2FQN	intersect_strelka_mutect2_vardict_WGS.bed
BS_K2K5YSDS	intersect_strelka_mutect2_vardict_WGS.bed
BS_J2DA5W77	intersect_strelka_mutect2_vardict_WGS.bed
BS_4RX1AAVV	intersect_strelka_mutect2_vardict_WGS.bed
BS_Z862V8M7	intersect_strelka_mutect2_vardict_WGS.bed
BS_8FYZMP93	intersect_strelka_mutect2_vardict_WGS.bed
BS_S0T1WT6R	intersect_strelka_mutect2_vardict_WGS.bed
BS_B3RH9V17	intersect_strelka_mutect2_vardict_WGS.bed
BS_B1X2SB4P	intersect_strelka_mutect2_vardict_WGS.bed
BS_B4DY7ET3	intersect_strelka_mutect2_vardict_WGS.bed
BS_AYPBAHJ6	intersect_strelka_mutect2_vardict_WGS.bed
BS_AXW0XBH8	intersect_strelka_mutect2_vardict_WGS.bed
BS_AXM96K20	intersect_strelka_mutect2_vardict_WGS.bed
BS_B4P1NP87	intersect_strelka_mutect2_vardict_WGS.bed
BS_B558FJXC	intersect_strelka_mutect2_vardict_WGS.bed
BS_B94G701Q	intersect_strelka_mutect2_vardict_WGS.bed
BS_BA0M71QZ	intersect_strelka_mutect2_vardict_WGS.bed
BS_B9QP40ER	intersect_strelka_mutect2_vardict_WGS.bed
BS_AWV1EDYB	intersect_strelka_mutect2_vardict_WGS.bed
BS_B91XGSA5	intersect_strelka_mutect2_vardict_WGS.bed
BS_B73JK7T1	intersect_strelka_mutect2_vardict_WGS.bed
BS_B6KCJF2B	intersect_strelka_mutect2_vardict_WGS.bed
BS_B6K0N6HS	intersect_strelka_mutect2_vardict_WGS.bed
BS_B5Z2XV03	intersect_strelka_mutect2_vardict_WGS.bed
BS_AWDQEKK1	intersect_strelka_mutect2_vardict_WGS.bed
BS_AK9BV52G	intersect_strelka_mutect2_vardict_WGS.bed
BS_AJFG2QDD	intersect_strelka_mutect2_vardict_WGS.bed
BS_AJAH8KG5	intersect_strelka_mutect2_vardict_WGS.bed
BS_AJ0T7DJ7	intersect_strelka_mutect2_vardict_WGS.bed
BS_AHT9PKVE	intersect_strelka_mutect2_vardict_WGS.bed
BS_AHAXPFG3	intersect_strelka_mutect2_vardict_WGS.bed
