Gene_symbol	PMTL	Gene_Ensembl_ID	Disease	EFO	MONDO	n_samples	cohort	tpm_mean	tpm_sd	tpm_mean_gene_wise_zscore	tpm_mean_cancer_group_wise_quantiles
MT-ND5		ENSG00000198786	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	1554.58612440191	719.843086147148	0.32954324825012	Highest expressed 25%
MT-RNR1		ENSG00000211459	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	19.2525837320574	115.849355024697	-0.490906773276193	Highest expressed 25%
FTL		ENSG00000087086	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	519.12971291866	330.656377953984	-0.538869987264825	Highest expressed 25%
HBA2		ENSG00000188536	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	162.955023923445	491.543279362721	-0.390636822157659	Highest expressed 25%
ACTB		ENSG00000075624	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	1115.12985645933	330.757252140795	-0.279401248230787	Highest expressed 25%
MTATP6P1		ENSG00000248527	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	244.532344497608	142.97921997268	-0.399350071519379	Highest expressed 25%
S100A9		ENSG00000163220	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	7.83224880382775	12.8114944714364	-0.262388819804705	Highest expressed 25%
RPS18		ENSG00000231500	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	687.685454545454	311.26397426447	-0.333892834670165	Highest expressed 25%
DES		ENSG00000175084	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	2.49296650717703	10.5138186909048	-0.286292811645065	Expression between upper quartile and median
RPL13A		ENSG00000142541	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	457.945933014354	210.609810347548	-0.477688712168156	Highest expressed 25%
RPS12		ENSG00000112306	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	254.048468899522	106.605355032864	-0.415886019908653	Highest expressed 25%
RPS11		ENSG00000142534	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	579.997081339713	306.412454441907	-0.368721664704315	Highest expressed 25%
EEF1A1		ENSG00000156508	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	1943.46172248804	691.135369737932	-0.262359756343463	Highest expressed 25%
PRSS2		ENSG00000275896	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	0.168086124401914	2.0708875308968002	-0.274814613933487	Expression between median and lower quartile
RPLP1		ENSG00000137818	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	214.287033492823	99.0276816621913	-0.653090946050199	Highest expressed 25%
IGKC		ENSG00000211592	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	240.448755980861	691.296960613348	0.274144044110334	Highest expressed 25%
RPL10		ENSG00000147403	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	625.842200956938	271.621553894982	-0.302683730228995	Highest expressed 25%
TMSB10		ENSG00000034510	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	996.462631578947	312.194232735228	0.0428605485542959	Highest expressed 25%
ACTA1		ENSG00000143632	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	1.65688995215311	14.3056254196203	-0.206438901811096	Expression between upper quartile and median
KRT10		ENSG00000186395	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	6.32866028708134	3.82593466765386	-0.365749953940398	Expression between upper quartile and median
HLA-B		ENSG00000234745	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	234.776267942584	184.205110079156	-0.410662846764024	Highest expressed 25%
FTH1		ENSG00000167996	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	650.897559808612	275.677285287243	-0.697745923032651	Highest expressed 25%
ACTG1		ENSG00000184009	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	934.332057416268	308.731103984327	-0.219530856742607	Highest expressed 25%
TMSB4X		ENSG00000205542	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	663.856220095694	255.090331009597	-0.379829410974061	Highest expressed 25%
PRSS1		ENSG00000204983	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	0.238612440191388	3.35105372177031	0.371548445802091	Expression between median and lower quartile
GAPDH		ENSG00000111640	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	628.565406698565	257.337899638469	-0.425002057835259	Highest expressed 25%
RPS16		ENSG00000105193	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	340.861100478469	169.133755840307	-0.368776205269423	Highest expressed 25%
RPL19		ENSG00000108298	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	771.798660287081	305.444437659675	-0.00698735380173514	Highest expressed 25%
RPL3		ENSG00000100316	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	531.051339712919	195.257971321385	-0.299373884424993	Highest expressed 25%
RPS27		ENSG00000177954	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	714.412248803828	355.480399412616	-0.411506003153024	Highest expressed 25%
RPS25		ENSG00000118181	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	159.072248803828	80.2477194512723	-0.466662562434521	Highest expressed 25%
RPL9		ENSG00000163682	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	342.322153110048	169.575203085805	-0.225015631882432	Highest expressed 25%
CKM		ENSG00000104879	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	0.767033492822966	7.02758478342993	-0.230233175412202	Expression between upper quartile and median
RPL8		ENSG00000161016	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	570.319234449761	205.244642833646	-0.207594355931344	Highest expressed 25%
EEF1G		ENSG00000254772	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	385.522153110048	168.620354257311	-0.206469761731222	Highest expressed 25%
MYL9		ENSG00000101335	Neuroblastoma	EFO_0000621	MONDO_0005072	209	GMKF	36.978038277512	41.4272551203458	-0.243952121401655	Highest expressed 25%
