Gene_symbol	PMTL	Gene_Ensembl_ID	Disease	EFO	MONDO	n_samples	cohort	tpm_mean	tpm_sd	tpm_mean_gene_wise_zscore	tpm_mean_cancer_group_wise_quantiles
PRSS1		ENSG00000204983	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	0.27362637362637365	3.5909791879291606	2.121588727311041	Expression between median and lower quartile
GAPDH		ENSG00000111640	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	632.8067582417583	258.9446560890131	-0.47130137432296937	Highest expressed 25%
RPS16		ENSG00000105193	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	351.8296153846154	177.1203499835755	-0.3736992758997812	Highest expressed 25%
RPL19		ENSG00000108298	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	801.9814835164835	306.73904515507786	-0.029488235282525047	Highest expressed 25%
RPL3		ENSG00000100316	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	541.7185164835165	205.15724635248978	-0.3119562796854869	Highest expressed 25%
RPS27		ENSG00000177954	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	737.298021978022	369.47217355346254	-0.4149721424332203	Highest expressed 25%
RPS25		ENSG00000118181	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	162.29862637362638	84.53666366510798	-0.4662202039616846	Highest expressed 25%
RPL9		ENSG00000163682	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	356.553021978022	175.11660455011045	-0.22028270141857698	Highest expressed 25%
CKM		ENSG00000104879	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	0.8775274725274724	7.527211698383372	-0.20213662257199652	Expression between upper quartile and median
RPL8		ENSG00000161016	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	587.2932417582417	209.35713411909327	-0.21905631746917073	Highest expressed 25%
EEF1G		ENSG00000254772	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	398.6342307692308	173.98518820938705	-0.20811013716697196	Highest expressed 25%
MYL9		ENSG00000101335	Neuroblastoma	EFO_0000621	MONDO_0005072	182	GMKF	34.137912087912085	42.052504133568924	-0.31779481060240233	Highest expressed 25%
