#hg19.knownToEnsembl.value	hg19.kgXref.kgID	hg19.kgXref.geneSymbol	hg19.kgXref.refseq	hg19.knownToRefSeq.value
ENST00000389680	uc022bqo.2	MT-RNR1		n/a
ENST00000417223	uc011fvk.2	PPP1R11		NM_021959
ENST00000431397	uc011fvq.1	TRIM40	NM_138700	NM_138700
ENST00000548672	uc011fvs.1	TRIM40	NM_138700	NM_138700
ENST00000427091	uc011fvv.2	TRIM15	NM_033229	NM_033229
ENST00000476982	uc011fwb.1	HLA-L		NR_027822
ENST00000438076	uc011fwf.2	TRIM39	NM_172016	NM_172016
ENST00000548002	uc011fwg.2	TRIM39	NM_021253	NM_021253
ENST00000433900	uc011fwh.2	TRIM39	NM_172016	NM_172016
ENST00000433900	uc011fwi.2	TRIM39	NM_172016	NM_172016
ENST00000551862	uc011fwj.2	TRIM39-RPP21	NM_001199119	NM_001199119
ENST00000430819	uc011fwl.2	RPP21	NM_024839	NM_024839
ENST00000430819	uc011fwm.2	RPP21	NM_001199121	NM_001199121
ENST00000430819	uc021zmz.1	RPP21	NM_001199120	NM_001199120
ENST00000452262	uc011fwk.2	RPP21	NM_024839	NM_024839
ENST00000415289	uc011fwn.2	HLA-E		NM_005516
ENST00000415289	uc011fwo.2	HLA-E	NM_005516	NM_005516
ENST00000415289	uc011fwp.2	HLA-E	NM_005516	NM_005516
ENST00000415289	uc011fwq.2	HLA-E		NM_005516
ENST00000454399	uc011fwv.2	PRR3	NM_025263	NM_025263
ENST00000454399	uc011fww.2	PRR3	NM_001077497	NM_001077497
ENST00000583429	uc021zna.1	MIR877		NR_030615
ENST00000419893	uc011fwx.1	ABCF1	NM_001025091	NM_001025091
ENST00000419893	uc011fwy.2	ABCF1	NM_001025091	NM_001025091
ENST00000448939	uc011fwz.2	ABCF1	NM_001090	NM_001090
ENST00000430402	uc011fxd.1	MRPS18B	NM_014046	NM_014046
ENST00000430402	uc011fxe.1	MRPS18B		NM_014046
ENST00000446100	uc011fxg.2	ATAT1	NM_024909	NM_024909
ENST00000443114	uc011fxi.2	ATAT1	NM_001254952	NM_001254952
ENST00000446100	uc011fxh.2	ATAT1	NM_001031722	NM_001031722
ENST00000443114	uc011fxj.2	ATAT1		NM_024909
ENST00000443114	uc011fxm.2	ATAT1	NM_001031722	NM_001031722
ENST00000448670	uc011fxn.2	ATAT1	NM_001031722	NM_001031722
ENST00000547308	uc011fxo.2	C6orf136	NM_001161376	NM_001161376
ENST00000547308	uc011fxp.2	C6orf136	NM_001109938	NM_001109938
ENST00000547308	uc011fxq.2	C6orf136	NM_145029	NM_145029
ENST00000419792	uc011fyf.2	TUBB	NM_178014	NM_178014
ENST00000436335	uc011fyg.2	TUBB	NM_178014	NM_178014
ENST00000577651	uc021znb.1	MIR4640		NR_039783
ENST00000420929	uc011fyq.2	DDR1	NM_001202521	NM_001202521
ENST00000462241	uc011fys.1	DDR1		NM_001202522
ENST00000548133	uc011fyu.1	DDR1	NM_001202522	NM_001202522
ENST00000415092	uc011fyk.2	DDR1	NM_001954	NM_001954
ENST00000427053	uc011fyl.2	DDR1	NM_001954	NM_001954
ENST00000412329	uc011fym.2	DDR1	NM_013993	NM_013993
ENST00000449518	uc011fyn.2	DDR1	NM_013993	NM_013993
ENST00000427053	uc011fyo.2	DDR1	NM_001954	NM_001954
ENST00000415092	uc011fyp.2	DDR1	NM_001202523	NM_001202523
ENST00000453510	uc011fyr.2	DDR1	NM_001954	NM_001954
ENST00000548133	uc011fyt.2	DDR1	NM_013994	NM_013994
ENST00000415092	uc011fyv.2	DDR1	NM_001202522	NM_001202522
ENST00000415092	uc011fyw.2	DDR1	NM_001202521	NM_001202521
ENST00000440824	uc011fyy.1	GTF2H4	NM_001517	NM_001517
ENST00000494704	uc011fyz.1	GTF2H4	NM_001517	NM_001517
ENST00000464084	uc011fzb.1	GTF2H4	NM_001517	NM_001517
ENST00000428577	uc011fze.2	VARS2	NM_001167734	NM_001167734
ENST00000464084	uc011fzd.2	VARS2	NM_020442	NM_020442
ENST00000428577	uc011fzf.2	VARS2	NM_020442	NM_020442
ENST00000428577	uc011fzg.2	VARS2	NM_001167733	NM_001167733
ENST00000428577	uc011fzh.2	VARS2	NM_001167734	NM_001167734
ENST00000428577	uc011fzi.2	VARS2	NM_020442	NM_020442
ENST00000428577	uc011fzj.2	VARS2		NM_020442
ENST00000428577	uc011fzk.2	VARS2		NM_020442
ENST00000464843	uc011fzl.2	VARS2		NM_001167733
ENST00000464843	uc011fzm.2	VARS2		NM_001167733
ENST00000498621	uc011fzn.2	VARS2		NM_001167733
ENST00000547450	uc011fzp.1	DPCR1	NM_080870	NM_080870
ENST00000440457	uc011fzq.1	MUC21	NM_001010909	NM_001010909
ENST00000440457	uc011fzr.1	MUC21		NM_001010909
ENST00000440457	uc011fzs.1	MUC21	NM_001010909	NM_001010909
ENST00000431128	uc021znc.1	MUC22	NM_001198815	NM_001198815
ENST00000431128	uc021znd.1	MUC22	NM_001198815	NM_001198815
ENST00000412408	uc011fzu.2	HCG22		NR_003948
ENST00000412408	uc021zne.1	HCG22		NR_003948
ENST00000420214	uc011fzw.2	PSORS1C1	NM_014068	NM_014068
ENST00000470382	uc011fzx.2	PSORS1C1	NM_014068	NM_014068
ENST00000420214	uc011fzz.2	PSORS1C1		NM_014068
ENST00000430947	uc011gag.2	TCF19	NM_001077511	NM_001077511
ENST00000430947	uc011gah.2	TCF19	NM_007109	NM_007109
ENST00000416945	uc011gao.3	HCG27		NR_026791
ENST00000383514	uc021zni.1	MICB		NM_005931
ENST00000383514	uc011gaw.2	MICB	NM_005931	NM_005931
ENST00000383514	uc031ssw.1	MICB		NM_005931
ENST00000383514	uc011gax.2	MICB	NM_005931	NM_005931
ENST00000437651	uc011gay.2	MICB		NM_005931
ENST00000452195	uc011gaz.1	MCCD1	NM_001011700	NM_001011700
ENST00000456607	uc011gbq.2	NFKBIL1	NM_001144963	NM_001144963
ENST00000456607	uc011gbr.2	NFKBIL1	NM_001144962	NM_001144962
ENST00000455376	uc011gbu.2	NFKBIL1	NM_001144961	NM_001144961
ENST00000455376	uc011gbt.2	NFKBIL1	NM_005007	NM_005007
ENST00000456607	uc011gbs.1	NFKBIL1	NM_001144962	NM_001144962
ENST00000487391	uc011gbx.2	LTA		NM_000595
ENST00000487391	uc011gby.2	LTA	NM_001159740	NM_001159740
ENST00000487391	uc011gbz.2	LTA		NM_000595
ENST00000487391	uc011gca.2	LTA		NM_000595
ENST00000432632	uc011gbv.2	LTA	NM_001159740	NM_001159740
ENST00000441939	uc011gbw.2	LTA	NM_000595	NM_000595
ENST00000420425	uc011gcb.3	TNF	NM_000594	NM_000594
ENST00000420425	uc011gcc.2	TNF		NM_000594
ENST00000427507	uc021znk.1	LST1	NM_205839	NM_205839
ENST00000450425	uc011gcq.2	LST1	NM_205838	NM_205838
ENST00000450425	uc011gch.2	LST1		NR_029461
ENST00000450425	uc011gci.2	LST1		NR_029462
ENST00000451641	uc011gcj.2	LST1	NM_205837	NM_205837
ENST00000455346	uc011gck.2	LST1		NM_001166538
ENST00000429910	uc011gcp.2	LST1		NM_205840
ENST00000423871	uc021znl.1	LST1		NM_001166538
ENST00000432164	uc011gcl.2	LST1		NM_001166538
ENST00000437812	uc011gcm.2	LST1	NM_007161	NM_007161
ENST00000429910	uc011gco.2	LST1	NM_205840	NM_205840
ENST00000440242	uc011gcn.2	LST1	NM_001166538	NM_001166538
ENST00000437812	uc011gcr.2	LST1	NM_205838	NM_205838
ENST00000489685	uc011gcv.2	AIF1	NM_004847	NM_004847
ENST00000425748	uc031ssx.1	AIF1	NM_032955	NM_032955
ENST00000425748	uc011gcw.2	AIF1	NM_001623	NM_001623
ENST00000416422	uc011gcx.2	AIF1	NM_032955	NM_032955
ENST00000583823	uc011gdb.2	SNORA38		NR_002971
ENST00000550674	uc011gcy.1	PRRC2A		NM_080686
ENST00000550674	uc011gcz.2	PRRC2A	NM_080686	NM_080686
ENST00000416335	uc011gda.2	PRRC2A	NM_004638	NM_004638
ENST00000439902	uc031ssy.1	APOM		NR_045828
ENST00000439902	uc011gdj.3	APOM	NM_001256169	NM_001256169
ENST00000426800	uc011gdk.2	APOM	NM_019101	NM_019101
ENST00000550832	uc011gdq.1	CSNK2B		NM_001320
ENST00000490307	uc011gdr.2	CSNK2B		NM_001320
ENST00000490307	uc021znn.1	CSNK2B	NM_001320	NM_001320
ENST00000443673	uc011gds.1	CSNK2B	NM_001320	NM_001320
ENST00000429633	uc031ssz.1	CSNK2B		NM_001320
ENST00000429633	uc031sta.1	CSNK2B		NM_001320
ENST00000443952	uc031stb.1	LY6G5B	NM_001320	NM_001320
ENST00000443952	uc031stc.1	LY6G5B		NM_021221
ENST00000443952	uc031std.1	LY6G5B		NM_021221
ENST00000443812	uc031ste.1	LY6G5B	NM_021221	NM_021221
ENST00000484964	uc011gdu.1	LY6G5B	NM_021221	NM_021221
ENST00000455632	uc011gef.1	LY6G6F	NM_001003693	NM_001003693
ENST00000554860	uc011geg.1	LY6G6F	NM_001003693	NM_001003693
ENST00000420378	uc011gel.1	LY6G6D	NM_021246	NM_021246
ENST00000498546	uc011gem.1	LY6G6D		NM_021246
ENST00000483796	uc021znp.1	C6orf25	NM_138272	NM_138272
ENST00000451549	uc011gep.2	C6orf25	NM_138272	NM_138272
ENST00000451549	uc011geq.2	C6orf25	NM_025260	NM_025260
ENST00000451549	uc011ger.2	C6orf25	NM_138275	NM_138275
ENST00000451549	uc011ges.2	C6orf25	NM_138273	NM_138273
ENST00000451549	uc011get.2	C6orf25	NM_138274	NM_138274
ENST00000483796	uc011geu.2	C6orf25	NM_138277	NM_138277
ENST00000497157	uc011gfd.2	MSH5-SAPCD1	NM_025259	NM_025259
ENST00000497157	uc011gfa.2	MSH5-SAPCD1	NM_172166	NM_172166
ENST00000497157	uc011gfb.2	MSH5-SAPCD1	NM_172165	NM_172165
ENST00000497157	uc011gfc.2	MSH5-SAPCD1	NM_002441	NM_002441
ENST00000497157	uc011gfe.1	MSH5-SAPCD1		NR_037846
ENST00000439816	uc011gff.1	MSH5-SAPCD1	NM_025259	NM_025259
ENST00000476578	uc011gfg.2	MSH5-SAPCD1		NR_037846
ENST00000452298	uc011gft.1	HSPA1B	NM_005346	n/a
ENST00000433487	uc011gfr.2	HSPA1A	NM_005345	NM_005345
ENST00000445736	uc011gfv.2	HSPA1B	NM_005346	NM_005346
ENST00000582400	uc011gfz.1	SNORD48		NR_002745
ENST00000582902	uc011gga.2	SNORD52		NR_002742
ENST00000414434	uc011gfw.2	C6orf48	NM_001040437	NM_001040437
ENST00000414434	uc011gfx.2	C6orf48	NM_001040438	NM_001040438
ENST00000444331	uc011gfy.2	C6orf48		NM_001040438
ENST00000497466	uc011ggv.2	C2	NM_000063	NM_000063
ENST00000475544	uc011ggr.1	C2		NR_073063
ENST00000475544	uc011ggs.2	C2		NR_073063
ENST00000423826	uc011ggu.2	C2	NM_001178063	NM_001178063
ENST00000413548	uc011ggw.2	C2	NM_000063	NM_000063
ENST00000550682	uc011ggx.2	C2	NM_001145903	NM_001145903
ENST00000413548	uc011ggy.2	C2	NM_001178063	NM_001178063
ENST00000483332	uc011ghb.2	C2		NM_001178063
ENST00000494049	uc011ghc.1	CFB		NM_001710
ENST00000433503	uc011ghd.1	CFB		NM_001710
ENST00000455591	uc011gha.2	CFB	NM_001710	NM_001710
ENST00000433503	uc011ghe.2	CFB	NM_001710	NM_001710
ENST00000429465	uc011ghj.1	SKIV2L	NM_006929	NM_006929
ENST00000429465	uc011ghk.1	SKIV2L		NM_006929
ENST00000429465	uc011ghl.1	SKIV2L		NM_006929
ENST00000468899	uc011ghu.2	STK19	NM_004197	NM_004197
ENST00000549310	uc011ghv.1	STK19		NR_026717
ENST00000549310	uc011ghs.2	STK19		NR_026717
ENST00000426802	uc011ghx.2	STK19	NM_032454	NM_032454
ENST00000426802	uc011ghw.2	STK19	NM_004197	NM_004197
ENST00000520138	uc011ghy.1	STK19		NM_004197
ENST00000546746	uc011gib.1	C4A		NM_001252204
ENST00000375295	uc011ghz.2	C4B_2	NM_001242823	NM_001242823
ENST00000375295	uc011gia.2	C4B_2	NM_001252204	NM_001252204
ENST00000482524	uc011gic.3	C4B_2		NM_001242823
ENST00000495969	uc021znt.1	CYP21A2		NM_000500
ENST00000474537	uc021znu.1	CYP21A1P		NR_040090
ENST00000546399	uc011gik.1	C4A		NM_001252204
ENST00000449788	uc011gii.2	C4B_2	NM_001242823	NM_001242823
ENST00000449788	uc011gij.2	C4B_2	NM_001252204	NM_001252204
ENST00000462943	uc011gil.3	C4B_2		NM_001242823
ENST00000448478	uc011gim.2	CYP21A2	NM_000500	NM_000500
ENST00000448478	uc011gin.2	CYP21A2	NM_001128590	NM_001128590
ENST00000427896	uc011gjd.2	PPT2	NM_138717	NM_138717
ENST00000429189	uc011gje.2	PPT2	NM_005155	NM_005155
ENST00000429189	uc011gjg.2	PPT2	NM_005155	NM_005155
ENST00000429189	uc011gjf.2	PPT2		NM_005155
ENST00000425659	uc011gji.1	PPT2	NM_005155	NM_005155
ENST00000445536	uc021znz.1	HCG23		NR_044996
ENST00000416883	uc011gju.2	HLA-DRA	NM_019111	NM_019111
ENST00000416883	uc011gjv.2	HLA-DRA		NM_019111
ENST00000457246	uc011gjz.2	HLA-DQA1		n/a
ENST00000453504	uc011gka.2	HLA-DQA1		n/a
ENST00000447735	uc011gke.2	HLA-DQA2	NM_020056	NM_020056
ENST00000421382	uc021zoc.1	LOC100507463		NR_037175
ENST00000421382	uc021zod.1	LOC100507463		NR_037173
ENST00000421382	uc021zoe.1	LOC100507463		NR_037176
ENST00000421382	uc021zof.1	LOC100507463		NR_037174
ENST00000484631	uc011gkt.2	PSMB9		NM_002800
ENST00000383114	uc011gku.2	PSMB9	NM_002800	NM_002800
ENST00000442219	uc011glh.2	BRD2		NM_001199455
ENST00000518754	uc011glg.2	BRD2		NM_001199456
ENST00000497181	uc011glo.2	HLA-DPB1		NM_002121
ENST00000458614	uc011gls.1	HLA-DPB1	NM_002121	NM_002121
ENST00000454006	uc011glp.2	HLA-DPB1	NM_002121	NM_002121
ENST00000454006	uc011glq.2	HLA-DPB1		NM_002121
ENST00000577883	uc021zoj.1	JA611279		n/a
ENST00000416369	uc011gmg.2	SLC39A7	NM_001077516	NM_001077516
ENST00000441854	uc011gmh.2	SLC39A7	NM_006979	NM_006979
ENST00000416369	uc011gmi.2	SLC39A7		NM_001077516
ENST00000454191	uc011gmk.2	HSD17B8	NM_014234	NM_014234
ENST00000580138	uc011gml.1	MIR219-1		NR_029633
ENST00000430233	uc011gmm.1	RING1		NM_002931
ENST00000430233	uc011gmn.1	RING1	NM_002931	NM_002931
ENST00000430233	uc011gmo.2	RING1	NM_002931	NM_002931
ENST00000482708	uc011gmp.2	RING1	NM_002931	NM_002931
ENST00000425404	uc021zok.1	HCG25		NR_044997
ENST00000457341	uc011gmv.1	RPS18	NM_022551	NM_022551
ENST00000494232	uc011gmw.1	RPS18		NM_022551
ENST00000419471	uc011gmy.1	B3GALT4	NM_003782	NM_003782
ENST00000425878	uc011gnd.2	PFDN6	NM_001265596	NM_001265596
ENST00000425878	uc011gnc.2	PFDN6	NM_014260	NM_014260
ENST00000425878	uc031stf.1	PFDN6	NM_001265595	NM_001265595
ENST00000425878	uc021zol.1	PFDN6	NM_001185181	NM_001185181
ENST00000435625	uc011frs.1	LOC401242		NR_033379
ENST00000429714	uc011frt.1	ZNF311		NM_001010877
ENST00000429714	uc011fru.1	ZNF311	NM_001010877	NM_001010877
ENST00000466714	uc011frv.1	ZNF311	NM_001010877	NM_001010877
ENST00000446776	uc011frw.1	OR2W1	NM_030903	NM_030903
ENST00000456140	uc011frx.2	OR2B3	NM_001005226	NM_001005226
ENST00000552446	uc011fsb.1	OR12D3	NM_030959	NM_030959
ENST00000551986	uc011fsd.2	OR11A1	NM_013937	NM_013937
ENST00000419773	uc011fse.1	6M1-18		n/a
ENST00000449044	uc011fsj.2	MAS1L	NM_052967	NM_052967
ENST00000421519	uc011fsl.2	UBD	NM_006398	NM_006398
ENST00000417759	uc011fsm.2	GABBR1	NM_021903	NM_021903
ENST00000446436	uc011fsp.2	GABBR1	NM_021903	NM_021903
ENST00000466282	uc011fst.1	GABBR1		NM_001470
ENST00000425097	uc011fsq.2	GABBR1	NM_001470	NM_001470
ENST00000425097	uc011fsr.2	GABBR1	NM_021904	NM_021904
ENST00000425097	uc011fss.2	GABBR1	NM_021903	NM_021903
ENST00000548574	uc011ftl.2	ZFP57	NM_001109809	NM_001109809
ENST00000422960	uc011fts.1	HLA-F-AS1		NR_026972
ENST00000422960	uc011ftt.1	HLA-F-AS1		NR_026973
ENST00000442989	uc011ftu.2	HLA-F-AS1		NR_026972
ENST00000443869	uc011ftv.1	IFITM4P		NR_001590
ENST00000440044	uc011ftw.2	HCG4		NR_002139
ENST00000423521	uc011fva.2	ZNRD1-AS1		NR_026751
ENST00000428435	uc011fvf.2	ZNRD1-AS1		NR_026751
ENST00000448229	uc011fve.1	ZNRD1-AS1		NR_026751
ENST00000456156	uc011fvl.2	RNF39	NM_170769	NM_170769
ENST00000456156	uc011fvm.2	RNF39	NM_025236	NM_025236
ENST00000433864	uc011fvn.2	TRIM31	NM_007028	NM_007028
ENST00000433864	uc011fvo.2	TRIM31	NM_007028	NM_007028
ENST00000413055	uc011fvt.2	TRIM10	NM_052828	NM_052828
ENST00000426996	uc011fvu.2	TRIM10	NM_006778	NM_006778
ENST00000433314	uc011fvw.2	TRIM26	NM_003449	NM_003449
ENST00000438785	uc011fwa.1	TRIM26		NM_003449
ENST00000447711	uc011fvx.2	TRIM26	NM_003449	NM_003449
ENST00000456093	uc011fvz.2	TRIM26	NM_001242783	NM_001242783
ENST00000447711	uc011fvy.2	TRIM26		NM_003449
ENST00000426984	uc031ssn.1	HCG17		NR_052012
ENST00000458584	uc011fwd.2	HCG18		NR_024052
ENST00000458584	uc011fwe.2	HCG18		NR_024053
ENST00000458584	uc031sso.1	HCG18		NR_102326
ENST00000458584	uc031ssp.1	HCG18		NR_102327
ENST00000428189	uc011fwr.2	GNL1	NM_005275	NM_005275
ENST00000428189	uc011fws.2	GNL1	NM_005275	NM_005275
ENST00000428189	uc011fwt.2	GNL1	NM_005275	NM_005275
ENST00000428189	uc011fwu.2	GNL1	NM_005275	NM_005275
ENST00000449113	uc011fxc.3	PPP1R10		NR_072994
ENST00000449113	uc011fxb.3	PPP1R10	NM_002714	NM_002714
ENST00000451748	uc011fxr.2	DHX16	NM_001164239	NM_001164239
ENST00000424672	uc011fxs.2	DHX16	NM_001164239	NM_001164239
ENST00000424672	uc011fxt.2	DHX16	NM_003587	NM_003587
