Gene	broad_histology	count
CSNK1G2	Hematologic malignancy	15
MLLT3	Hematologic malignancy	15
ACSF3	Hematologic malignancy	14
GRAMD4	Hematologic malignancy	14
KLF16	Hematologic malignancy	14
MAFK	Hematologic malignancy	14
PMEPA1	Hematologic malignancy	14
RASA3	Hematologic malignancy	14
ADAP1	Hematologic malignancy	13
ING1	Hematologic malignancy	13
OSBPL5	Hematologic malignancy	13
PDGFA	Hematologic malignancy	13
REXO1	Hematologic malignancy	13
ASXL1	Hematologic malignancy	12
ATP6V0C	Hematologic malignancy	12
BCR	Hematologic malignancy	12
DDX5	Hematologic malignancy	12
DENND3	Hematologic malignancy	12
FUS	Hematologic malignancy	12
GRK2	Hematologic malignancy	12
NUP214	Hematologic malignancy	12
PICALM	Hematologic malignancy	12
COX19	Hematologic malignancy	11
CTBP1	Hematologic malignancy	11
EP300	Hematologic malignancy	11
FAM20C	Hematologic malignancy	11
KLF2	Hematologic malignancy	11
MLLT1	Hematologic malignancy	11
PLEKHO1	Hematologic malignancy	11
SUN1	Hematologic malignancy	11
ASPSCR1	Hematologic malignancy	10
BCL11A	Hematologic malignancy	10
INSR	Hematologic malignancy	10
KDM5A	Hematologic malignancy	10
LDLRAD4	Hematologic malignancy	10
MNT	Hematologic malignancy	10
MTA1	Hematologic malignancy	10
PHACTR3	Hematologic malignancy	10
PNRC1	Hematologic malignancy	10
RXRA	Hematologic malignancy	10
TBCD	Hematologic malignancy	10
TPM4	Hematologic malignancy	10
UBC	Hematologic malignancy	10
UHRF2	Hematologic malignancy	10
AC008878.3	Hematologic malignancy	9
AFF1	Hematologic malignancy	9
BRF1	Hematologic malignancy	9
FGFRL1	Hematologic malignancy	9
GET4	Hematologic malignancy	9
LEF1	Hematologic malignancy	9
MET	Diffuse astrocytic and oligodendroglial tumor	9
NBAS	Embryonal tumor	9
PPP6R2	Hematologic malignancy	9
SLC19A1	Hematologic malignancy	9
STK24	Hematologic malignancy	9
TFRC	Hematologic malignancy	9
TGIF1	Hematologic malignancy	9
ZEB2	Hematologic malignancy	9
AKT1	Hematologic malignancy	8
ARHGEF2	Hematologic malignancy	8
BAZ2B	Hematologic malignancy	8
CLK1	Hematologic malignancy	8
EDF1	Hematologic malignancy	8
HDAC4	Hematologic malignancy	8
INPP5A	Hematologic malignancy	8
PTTG1IP	Hematologic malignancy	8
VAV2	Hematologic malignancy	8
BAHCC1	Hematologic malignancy	7
BAZ1A	Hematologic malignancy	7
BRD3	Hematologic malignancy	7
CHD2	Hematologic malignancy	7
CREBBP	Hematologic malignancy	7
EPB41	Hematologic malignancy	7
FAM19A5	Hematologic malignancy	7
FOSB	Hematologic malignancy	7
KDM4C	Hematologic malignancy	7
KLF10	Hematologic malignancy	7
LMNB2	Hematologic malignancy	7
NSD1	Hematologic malignancy	7
PLEC	Hematologic malignancy	7
PLXNB2	Hematologic malignancy	7
PPP1R37	Hematologic malignancy	7
SSBP2	Hematologic malignancy	7
STK11	Hematologic malignancy	7
ZBTB7A	Hematologic malignancy	7
ZNF511	Hematologic malignancy	7
AFDN	Hematologic malignancy	6
ANP32E	Hematologic malignancy	6
ARID3A	Hematologic malignancy	6
ARID5A	Hematologic malignancy	6
BID	Hematologic malignancy	6
BPTF	Hematologic malignancy	6
BRD4	Hematologic malignancy	6
C19orf24	Hematologic malignancy	6
CLPTM1L	Hematologic malignancy	6
DDX3X	Hematologic malignancy	6
ERG	Hematologic malignancy	6
EWSR1	Mesenchymal non-meningothelial tumor	6
EZR	Hematologic malignancy	6
FLI1	Mesenchymal non-meningothelial tumor	6
GALNS	Hematologic malignancy	6
HIPK1	Hematologic malignancy	6
KMT2C	Hematologic malignancy	6
LRP1	Mesenchymal non-meningothelial tumor	6
MDK	Hematologic malignancy	6
MEF2D	Hematologic malignancy	6
MRM2	Hematologic malignancy	6
MYO18B	Hematologic malignancy	6
PPP4R3B	Hematologic malignancy	6
RASSF1	Hematologic malignancy	6
RNF168	Hematologic malignancy	6
SELENOO	Hematologic malignancy	6
SHANK3	Hematologic malignancy	6
SRSF4	Hematologic malignancy	6
STK32C	Hematologic malignancy	6
TACC3	Hematologic malignancy	6
TSC2	Hematologic malignancy	6
ZNF131	Hematologic malignancy	6
ACTR1A	Hematologic malignancy	5
ARHGAP15	Embryonal tumor	5
ARHGEF7	Hematologic malignancy	5
AUTS2	Hematologic malignancy	5
BCL11B	Hematologic malignancy	5
BSG	Hematologic malignancy	5
CIC	Hematologic malignancy	5
COG8	Hematologic malignancy	5
CPSF6	Hematologic malignancy	5
CYBA	Hematologic malignancy	5
ELF1	Hematologic malignancy	5
EPS15	Hematologic malignancy	5
FAM49A	Embryonal tumor	5
FAM53B	Hematologic malignancy	5
FLT3	Hematologic malignancy	5
FYN	Diffuse astrocytic and oligodendroglial tumor	5
GNA15	Hematologic malignancy	5
HNRNPH1	Hematologic malignancy	5
HNRNPU	Hematologic malignancy	5
IKZF1	Hematologic malignancy	5
JAK2	Hematologic malignancy	5
KMT5A	Hematologic malignancy	5
MAD1L1	Embryonal tumor	5
MAML3	Hematologic malignancy	5
MGRN1	Hematologic malignancy	5
NFIC	Hematologic malignancy	5
NTRK2	Low-grade astrocytic tumor	5
PDCD6	Hematologic malignancy	5
PDF	Hematologic malignancy	5
PPRC1	Hematologic malignancy	5
PRDM16	Hematologic malignancy	5
RBBP6	Hematologic malignancy	5
RER1	Hematologic malignancy	5
REV3L	Diffuse astrocytic and oligodendroglial tumor	5
RNH1	Hematologic malignancy	5
SARAF	Hematologic malignancy	5
SEC24B	Hematologic malignancy	5
SF1	Hematologic malignancy	5
SH3TC1	Hematologic malignancy	5
SMARCA2	Hematologic malignancy	5
SS18L1	Hematologic malignancy	5
TRABD	Hematologic malignancy	5
TUBGCP6	Hematologic malignancy	5
YWHAE	Hematologic malignancy	5
ZEB2	Embryonal tumor	5
ZNF516	Hematologic malignancy	5
ABR	Hematologic malignancy	4
AC244472.3	Hematologic malignancy	4
ARHGAP15	Hematologic malignancy	4
ARID1B	Hematologic malignancy	4
BCL9	Hematologic malignancy	4
BRD9	Hematologic malignancy	4
C19orf25	Hematologic malignancy	4
CHST11	Hematologic malignancy	4
CLK3	Hematologic malignancy	4
CNN2	Hematologic malignancy	4
COL1A2	Mesenchymal non-meningothelial tumor	4
DDX1	Embryonal tumor	4
DHX9	Hematologic malignancy	4
DNAJC1	Hematologic malignancy	4
EEF1D	Hematologic malignancy	4
EHMT1	Hematologic malignancy	4
ELF2	Hematologic malignancy	4
FAM172A	Hematologic malignancy	4
FAM69B	Hematologic malignancy	4
FNBP1	Hematologic malignancy	4
FOSL1	Hematologic malignancy	4
GLIS2	Hematologic malignancy	4
GNA11	Hematologic malignancy	4
HIF1A	Hematologic malignancy	4
HOXA9	Hematologic malignancy	4
ING5	Hematologic malignancy	4
ITM2C	Hematologic malignancy	4
KDM2B	Hematologic malignancy	4
KLF13	Hematologic malignancy	4
KLF6	Hematologic malignancy	4
LEPROTL1	Hematologic malignancy	4
LPCAT1	Hematologic malignancy	4
MACF1	Hematologic malignancy	4
MAD1L1	Renal tumor	4
MBP	Hematologic malignancy	4
N4BP2L1	Hematologic malignancy	4
NACC2	Hematologic malignancy	4
NFAT5	Hematologic malignancy	4
NFKBIA	Hematologic malignancy	4
NPM1	Hematologic malignancy	4
PIAS1	Hematologic malignancy	4
PTDSS2	Hematologic malignancy	4
PTPN2	Hematologic malignancy	4
RAB35	Hematologic malignancy	4
RAF1	Low-grade astrocytic tumor	4
RANBP2	Hematologic malignancy	4
RBM14	Hematologic malignancy	4
RNF220	Hematologic malignancy	4
ROS1	Diffuse astrocytic and oligodendroglial tumor	4
SCFD2	Diffuse astrocytic and oligodendroglial tumor	4
SET	Hematologic malignancy	4
SFPQ	Hematologic malignancy	4
SMG6	Hematologic malignancy	4
SOCS2	Hematologic malignancy	4
SON	Hematologic malignancy	4
TAOK3	Hematologic malignancy	4
TCF7	Hematologic malignancy	4
TIMP2	Hematologic malignancy	4
TMEM259	Hematologic malignancy	4
TRBC2	Hematologic malignancy	4
UBAC2	Hematologic malignancy	4
USP12	Hematologic malignancy	4
USP15	Hematologic malignancy	4
WNK1	Hematologic malignancy	4
ZBTB18	Hematologic malignancy	4
ZFP36	Hematologic malignancy	4
ZMYM2	Hematologic malignancy	4
