CancerGroup	SearchTerm	NCITOntoID	OntoDesc
Clear cell sarcoma of the kidney	Clear cell sarcoma of the kidney	NCIT_C4264	Clear Cell Sarcoma of the Kidney
CNS Burkitt's lymphoma	CNS Burkitt's lymphoma	NCIT_C7187	Non-Burkitt's Lymphoma
CNS Embryonal tumor	CNS Embryonal tumor	NCIT_C6990	Central Nervous System Embryonal Tumor
CNS Melanoma	CNS Melanoma	NCIT_C5505	Central Nervous System Melanoma
CNS neuroblastoma	CNS neuroblastoma	NCIT_C186547	Central Nervous System Neuroblastoma, FOXR2-Activated
Colon Adenocarcinoma	Colon Adenocarcinoma	NCIT_C4349	Colon Adenocarcinoma
Craniopharyngioma	Craniopharyngioma	NCIT_C2964	Craniopharyngioma
Cutaneous Melanoma	Cutaneous Melanoma	NCIT_C3510	Cutaneous Melanoma
Desmoid-type fibromatosis	Desmoid-type fibromatosis	NCIT_C9182	Desmoid Fibromatosis
Desmoplastic infantile astrocytoma and ganglioglioma	Desmoplastic infantile astrocytoma and ganglioglioma	NCIT_C21969	Mouse Desmoplastic Infantile Astrocytoma / Ganglioglioma
Diffuse fibrillary astrocytoma	Diffuse fibrillary astrocytoma	NCIT_C4322	Fibrillary Astrocytoma
Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma	NCIT_C94764	Diffuse Intrinsic Pontine Glioma
Diffuse leptomeningeal glioneuronal tumor	Diffuse leptomeningeal glioneuronal tumor	NCIT_C129424	Diffuse Leptomeningeal Glioneuronal Tumor
Diffuse midline glioma	Diffuse midline glioma	NCIT_C182151	Diffuse Midline Glioma
Dysembryoplastic neuroepithelial tumor	Dysembryoplastic neuroepithelial tumor	NCIT_C9505	Dysembryoplastic Neuroepithelial Tumor
Dysgerminoma	Dysgerminoma	NCIT_C8106	Ovarian Dysgerminoma
Embryonal tumor	Embryonal tumor	NCIT_C3264	Embryonal Neoplasm
Embryonal Tumor NOS	Embryonal Tumor NOS	NCIT_C3752	Embryonal Carcinoma
Embryonal tumor with multilayer rosettes	Embryonal tumor with multilayer rosettes	NCIT_C186534	Embryonal Tumor with Multilayered Rosettes
Ependymoma	Ependymoma	NCIT_C3017	Ependymoma
Esophageal Carcinoma	Esophageal Carcinoma	NCIT_C3513	Esophageal Carcinoma
Ewing sarcoma	Ewing sarcoma	NCIT_C4817	Ewing Sarcoma
Extraventricular neurocytoma	Extraventricular neurocytoma	NCIT_C92555	Extraventricular Neurocytoma
Fibromyxoid lesion	Fibromyxoid lesion	NCIT_C121774	Malignant Ossifying Fibromyxoid Tumor
Ganglioglioma	Ganglioglioma	NCIT_C3788	Ganglioglioma
Ganglioneuroblastoma	Ganglioneuroblastoma	NCIT_C3790	Ganglioneuroblastoma
Ganglioneuroma	Ganglioneuroma	NCIT_C3049	Ganglioneuroma
Germ Cell Tumor	Germ Cell Tumor	NCIT_C3708	Germ Cell Tumor
Germinoma	Germinoma	NCIT_C8712	Pineal Region Germinoma
Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	NCIT_C3716	Primitive Neuroectodermal Tumor
Glioblastoma Multiforme	Glioblastoma Multiforme	NCIT_C3058	Glioblastoma
Gliomatosis Cerebri	Gliomatosis Cerebri	NCIT_C4318	Gliomatosis Cerebri
Gliosarcoma	Gliosarcoma	NCIT_C3796	Gliosarcoma
Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	NCIT_C34447	Head and Neck Squamous Cell Carcinoma
Hemangioblastoma	Hemangioblastoma	NCIT_C3801	Hemangioblastoma
Hepatoblastoma	Hepatoblastoma	NCIT_C3728	Hepatoblastoma
Hepatocellular Carcinoma	Hepatocellular Carcinoma	NCIT_C3099	Hepatocellular Carcinoma
High-grade glioma/astrocytoma	High-grade glioma astrocytoma	NCIT_C9477	Anaplastic Astrocytoma
Histiocytic tumor	Histiocytic tumor	NCIT_C27349	Histiocytic Sarcoma
Hodgkin's lymphoma	Hodgkin's lymphoma	NCIT_C3208	Lymphoma
Infantile Fibrosarcoma	Infantile Fibrosarcoma	NCIT_C4244	Infantile Fibrosarcoma
Inflammatory Myofibroblastic Tumor	Inflammatory Myofibroblastic Tumor	NCIT_C6481	Inflammatory Myofibroblastic Tumor
Intrahepatic Cholangiocarcinoma	Intrahepatic Cholangiocarcinoma	NCIT_C35417	Intrahepatic Cholangiocarcinoma
Juvenile xanthogranuloma	Juvenile xanthogranuloma	NCIT_C3451	Juvenile Xanthogranuloma
Langerhans Cell histiocytosis	Langerhans Cell histiocytosis	NCIT_C3107	Langerhans Cell Histiocytosis
Low-grade glioma/astrocytoma	Low-grade glioma astrocytoma	NCIT_C132067	Low Grade Glioma
Lung Adenocarcinoma	Lung Adenocarcinoma	NCIT_C3512	Lung Adenocarcinoma
Lung Squamous Cell Carcinoma	Lung Squamous Cell Carcinoma	NCIT_C3493	Lung Squamous Cell Carcinoma
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	NCIT_C171264	Advanced Diffuse Large B-Cell Lymphoma
Malignant peripheral nerve sheath tumor	Malignant peripheral nerve sheath tumor	NCIT_C3798	Malignant Peripheral Nerve Sheath Tumor
Medulloblastoma	Medulloblastoma	NCIT_C3222	Medulloblastoma
Melanocytic tumor	Melanocytic tumor	NCIT_C168592	Melanocytic Matricoma
Melanoma	Melanoma	NCIT_C3224	Melanoma
Meningioma	Meningioma	NCIT_C3230	Meningioma
Mesothelioma	Mesothelioma	NCIT_C3234	Mesothelioma
Metastatic secondary tumors	Metastatic secondary tumors	NCIT_C8816	Metastatic Liposarcoma
Mixed germ cell tumor	Mixed germ cell tumor	NCIT_C4290	Mixed Germ Cell Tumor
Myeloid Neoplasm	Myeloid Neoplasm	NCIT_C9290	Myeloid Neoplasm
Neuroblastoma	Neuroblastoma	NCIT_C3270	Neuroblastoma
Neuroepithelial neoplasm	Neuroepithelial neoplasm	NCIT_C3787	Neuroepithelial Neoplasm
Neurofibroma/Plexiform	Neurofibroma Plexiform	NCIT_C3797	Plexiform Neurofibroma
Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	NCIT_C3211	Non-Hodgkin Lymphoma
Oligodendroglioma	Oligodendroglioma	NCIT_C3288	Oligodendroglioma
Osteosarcoma	Osteosarcoma	NCIT_C9145	Osteosarcoma
Ovarian Serous Cystadenocarcinoma	Ovarian Serous Cystadenocarcinoma	NCIT_C7978	Ovarian Serous Cystadenocarcinoma
Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	NCIT_C8294	Pancreatic Adenocarcinoma
Pheochromocytoma and Paraganglioma	Pheochromocytoma and Paraganglioma	NCIT_C136560	Apparent Sporadic Paraganglioma or Pheochromocytoma
Pilocytic astrocytoma	Pilocytic astrocytoma	NCIT_C4047	Pilocytic Astrocytoma
Pineal tumor	Pineal tumor	NCIT_C3328	Pineal Region Neoplasm
Pineoblastoma	Pineoblastoma	NCIT_C9344	Pineoblastoma
Pineocytoma	Pineocytoma	NCIT_C6966	Pineocytoma
Pleomorphic xanthoastrocytoma	Pleomorphic xanthoastrocytoma	NCIT_C4323	Pleomorphic Xanthoastrocytoma
Prostate Adenocarcinoma	Prostate Adenocarcinoma	NCIT_C2919	Prostate Adenocarcinoma
Rectum Adenocarcinoma	Rectum Adenocarcinoma	NCIT_C9383	Rectal Adenocarcinoma
Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma	NCIT_C4033	Clear Cell Renal Cell Carcinoma
Renal Papillary Cell Carcinoma	Renal Papillary Cell Carcinoma	NCIT_C6975	Papillary Renal Cell Carcinoma
Retinoblastoma	Retinoblastoma	NCIT_C7541	Retinoblastoma
Rhabdoid tumor of the kidney	Rhabdoid tumor of the kidney	NCIT_C8715	Rhabdoid Tumor of the Kidney
Rhabdomyosarcoma	Rhabdomyosarcoma	NCIT_C3359	Rhabdomyosarcoma
Rosai-Dorfman disease	Rosai-Dorfman disease	NCIT_C36075	Rosai-Dorfman Disease
Rosette-forming glioneuronal tumor	Rosette-forming glioneuronal tumor	NCIT_C129431	Rosette-Forming Glioneuronal Tumor
Sarcoma	Sarcoma	NCIT_C9118	Sarcoma
Schwannoma	Schwannoma	NCIT_C3269	Schwannoma
Stomach Adenocarcinoma	Stomach Adenocarcinoma	NCIT_C4004	Gastric Adenocarcinoma
Subependymal Giant Cell Astrocytoma	Subependymal Giant Cell Astrocytoma	NCIT_C3696	Subependymal Giant Cell Astrocytoma
T Acute Lymphoblastic Leukemia/Lymphoma	T Acute Lymphoblastic Leukemia Lymphoma	NCIT_C8694	T Lymphoblastic Leukemia/Lymphoma
Teratoma	Teratoma	NCIT_C3403	Teratoma
Testicular Germ Cell Tumor	Testicular Germ Cell Tumor	NCIT_C8591	Testicular Germ Cell Tumor
Thymoma	Thymoma	NCIT_C3411	Thymoma
Thyroid Carcinoma	Thyroid Carcinoma	NCIT_C4815	Thyroid Gland Carcinoma
Thyroid Gland Follicular Carcinoma	Thyroid Gland Follicular Carcinoma	NCIT_C8054	Thyroid Gland Follicular Carcinoma
Thyroid Gland Papillary Carcinoma	Thyroid Gland Papillary Carcinoma	NCIT_C4035	Thyroid Gland Papillary Carcinoma
Uterine Carcinosarcoma	Uterine Carcinosarcoma	NCIT_C42700	Uterine Carcinosarcoma
Uterine Corpus Endometrial Carcinoma	Uterine Corpus Endometrial Carcinoma	NCIT_C159413	CPTAC Uterine Corpus Endometrial Carcinoma Baseline Form
Uveal Melanoma	Uveal Melanoma	NCIT_C7712	Uveal Melanoma
Wilms tumor	Wilms tumor	NCIT_C3267	Wilms Tumor
