cancer_group	tumor_descriptor	n
Germ Cell Tumor	Primary Tumor	4
Germinoma	Initial CNS Tumor	14
Germinoma	Progressive	2
Glial-neuronal tumor NOS	Initial CNS Tumor	26
Glial-neuronal tumor NOS	Progressive	6
Glial-neuronal tumor NOS	Recurrence	5
Gliomatosis cerebri	Initial CNS Tumor	2
Gliomatosis Cerebri	Initial CNS Tumor	1
Hemangioblastoma	Initial CNS Tumor	15
Hemangioblastoma	Progressive	5
Hepatoblastoma	Primary Tumor	8
Hepatocellular Carcinoma	Primary Tumor	2
High-grade glioma/astrocytoma	Initial CNS Tumor	364
High-grade glioma/astrocytoma	Primary Tumor	3
High-grade glioma/astrocytoma	Progressive	104
High-grade glioma/astrocytoma	Progressive Disease Post-Mortem	2
High-grade glioma/astrocytoma	Recurrence	54
High-grade glioma/astrocytoma	Second Malignancy	15
Histiocytic Tumor	Primary Tumor	6
Histiocytic Tumor	Progressive	4
Hodgkin's lymphoma	Recurrence	2
Infantile Fibrosarcoma	Primary Tumor	4
Inflammatory Myofibroblastic Tumor	Primary Tumor	8
Inflammatory Myofibroblastic Tumor	Progressive	2
Inflammatory Myofibroblastic Tumor	Recurrence	2
Intrahepatic Cholangiocarcinoma	Primary Tumor	1
Juvenile xanthogranuloma	Initial CNS Tumor	2
Juvenile xanthogranuloma	Primary Tumor	2
Langerhans Cell histiocytosis	Initial CNS Tumor	22
Langerhans Cell histiocytosis	Primary Tumor	8
Langerhans Cell histiocytosis	Progressive	1
Langerhans Cell histiocytosis	Unavailable	1
Low-grade glioma/astrocytoma	Initial CNS Tumor	585
Low-grade glioma/astrocytoma	Primary Tumor	6
Low-grade glioma/astrocytoma	Progressive	179
Low-grade glioma/astrocytoma	Recurrence	44
Low-grade glioma/astrocytoma	Second Malignancy	3
Malignant peripheral nerve sheath tumor	Initial CNS Tumor	8
Malignant peripheral nerve sheath tumor	Primary Tumor	5
Malignant peripheral nerve sheath tumor	Progressive	1
Malignant peripheral nerve sheath tumor	Recurrence	3
Medulloblastoma	Initial CNS Tumor	383
Medulloblastoma	Primary Tumor	2
Medulloblastoma	Progressive	27
Medulloblastoma	Recurrence	12
Melanoma	Progressive	2
Meningioma	Initial CNS Tumor	60
Meningioma	Progressive	20
Meningioma	Recurrence	14
Meningioma	Second Malignancy	18
Metastatic secondary tumors	Initial CNS Tumor	15
Metastatic secondary tumors	Progressive	2
Mixed germ cell tumor	Initial CNS Tumor	2
Mixed germ cell tumor	Progressive	5
Neuroblastoma	Initial CNS Tumor	12
Neuroblastoma	Metastatic Tumor	2
Neuroblastoma	Primary Tumor	1488
Neuroblastoma	Progressive	20
Neuroblastoma	Recurrence	17
Neuroblastoma	NA	1
Neurocytoma	Initial CNS Tumor	4
Neurocytoma	Progressive	2
Neurofibroma/Plexiform	Initial CNS Tumor	39
Neurofibroma/Plexiform	Primary Tumor	4
Neurofibroma/Plexiform	Progressive	17
Neurofibroma/Plexiform	Recurrence	6
Neurofibroma/Plexiform	Second Malignancy	6
Non-Hodgkin Lymphoma	Primary Tumor	4
Oligodendroglioma	Initial CNS Tumor	5
Oligodendroglioma	Progressive	2
Oligodendroglioma	Recurrence	3
Osteosarcoma	Primary Tumor	266
Osteosarcoma	Progressive	2
Osteosarcoma	Recurrence	2
Osteosarcoma	Second Malignancy	2
Pilocytic astrocytoma	Initial CNS Tumor	216
Pilocytic astrocytoma	Progressive	33
Pilocytic astrocytoma	Recurrence	6
Pilocytic astrocytoma	Second Malignancy	2
Pineoblastoma	Initial CNS Tumor	23
Pineoblastoma	Progressive	3
Pleomorphic xanthoastrocytoma	Initial CNS Tumor	19
Pleomorphic xanthoastrocytoma	Progressive	2
Pleomorphic xanthoastrocytoma	Recurrence	2
Primary CNS lymphoma	Initial CNS Tumor	1
Retinoblastoma	Recurrence	2
Rhabdoid tumor of the kidney	Primary Tumor	64
Rhabdomyosarcoma	Initial CNS Tumor	8
Rhabdomyosarcoma	Primary Tumor	33
Rhabdomyosarcoma	Progressive	10
Rhabdomyosarcoma	Recurrence	2
Rosette-forming glioneuronal tumor	Recurrence	2
Sarcoma	Initial CNS Tumor	14
Sarcoma	Primary Tumor	6
Sarcoma	Progressive	4
Sarcoma	Recurrence	6
Sarcoma	Second Malignancy	2
Schwannoma	Initial CNS Tumor	55
Schwannoma	Primary Tumor	4
Schwannoma	Progressive	7
Schwannoma	Recurrence	5
Subependymal Giant Cell Astrocytoma	Initial CNS Tumor	25
Subependymal Giant Cell Astrocytoma	Progressive	3
Subependymal Giant Cell Astrocytoma	Second Malignancy	2
Supratentorial or Spinal Cord PNET	Initial CNS Tumor	12
Supratentorial or Spinal Cord PNET	Progressive	6
Supratentorial or Spinal Cord PNET	Recurrence	3
T Acute Lymphoblastic Leukemia/Lymphoma	Primary Tumor	15
T Acute Lymphoblastic Leukemia/Lymphoma	Recurrence	4
T Acute Lymphoblastic Leukemia/Lymphoma	Second Malignancy	2
Teratoma	Initial CNS Tumor	14
Teratoma	Primary Tumor	4
Teratoma	Progressive	12
Thyroid Gland Follicular Carcinoma	Primary Tumor	2
Thyroid Gland Papillary Carcinoma	Primary Tumor	43
Thyroid Gland Papillary Carcinoma	Progressive	7
Thyroid Gland Papillary Carcinoma	Second Malignancy	2
Wilms tumor	Metastatic	1
Wilms tumor	Metastatic Tumor	1
Wilms tumor	Primary Tumor	298
Wilms tumor	Recurrence	15
